 ***Theta   Eprime   Sig_Born   Sig_Rad
   19.1125   2.9695   7.9956   9.0140
   19.1125   2.9785   7.9707   8.9733
   19.1125   2.9875   7.9459   8.9332
   19.1125   2.9965   7.9210   8.8940
   19.1125   3.0055   7.8963   8.8534
   19.1125   3.0145   7.8715   8.8140
   19.1125   3.0235   7.8467   8.7750
   19.1125   3.0325   7.8220   8.7364
   19.1125   3.0415   7.7974   8.6967
   19.1125   3.0505   7.7727   8.6579
   19.1125   3.0595   7.7481   8.6195
   19.1125   3.0685   7.7234   8.5810
   19.1125   3.0775   7.6989   8.5421
   19.1125   3.0865   7.6743   8.5036
   19.1125   3.0955   7.6498   8.4653
   19.1125   3.1045   7.6252   8.4277
   19.1125   3.1135   7.6007   8.3899
   19.1125   3.1225   7.5762   8.3522
   19.1125   3.1315   7.5518   8.3150
   19.1125   3.1405   7.5273   8.2777
   19.1125   3.1495   7.5029   8.2403
   19.1125   3.1585   7.4785   8.2032
   19.1125   3.1675   7.4541   8.1662
   19.1125   3.1765   7.4297   8.1309
   19.1125   3.1855   7.4053   8.0927
   19.1125   3.1945   7.3810   8.0558
   19.1125   3.2035   7.3566   8.0198
   19.1125   3.2125   7.3323   7.9839
   19.1125   3.2215   7.3080   7.9475
   19.1125   3.2305   7.2837   7.9115
   19.1125   3.2395   7.2594   7.8761
   19.6125   2.9605   7.0642   7.8948
   19.6125   2.9695   7.0403   7.8568
   19.6125   2.9785   7.0165   7.8198
   19.6125   2.9875   6.9927   7.7829
   19.6125   2.9965   6.9689   7.7459
   19.6125   3.0055   6.9452   7.7088
   19.6125   3.0145   6.9215   7.6723
   19.6125   3.0235   6.8978   7.6361
   19.6125   3.0325   6.8741   7.6000
   19.6125   3.0415   6.8505   7.5638
   19.6125   3.0505   6.8269   7.5281
   19.6125   3.0595   6.8033   7.4926
   19.6125   3.0685   6.7797   7.4571
   19.6125   3.0775   6.7561   7.4212
   19.6125   3.0865   6.7326   7.3859
   19.6125   3.0955   6.7091   7.3508
   19.6125   3.1045   6.6856   7.3166
   19.6125   3.1135   6.6621   7.2804
   19.6125   3.1225   6.6386   7.2459
   19.6125   3.1315   6.6151   7.2115
   19.6125   3.1405   6.5917   7.1769
   19.6125   3.1495   6.5683   7.1425
   19.6125   3.1585   6.5449   7.1087
   19.6125   3.1675   6.5215   7.0747
   19.6125   3.1765   6.4981   7.0400
   19.6125   3.1855   6.4747   7.0070
   19.6125   3.1945   6.4514   6.9731
   19.6125   3.2035   6.4281   6.9395
   19.6125   3.2125   6.4047   6.9057
   19.6125   3.2215   6.3814   6.8725
   19.6125   3.2305   6.3581   6.8390
   19.6125   3.2395   6.3348   6.8047
   20.1125   2.9605   6.2210   6.8830
   20.1125   2.9695   6.1982   6.8487
   20.1125   2.9785   6.1754   6.8141
   20.1125   2.9875   6.1526   6.7802
   20.1125   2.9965   6.1299   6.7459
   20.1125   3.0055   6.1072   6.7124
   20.1125   3.0145   6.0845   6.6786
   20.1125   3.0235   6.0618   6.6451
   20.1125   3.0325   6.0391   6.6126
   20.1125   3.0415   6.0165   6.5778
   20.1125   3.0505   5.9939   6.5449
   20.1125   3.0595   5.9713   6.5122
   20.1125   3.0685   5.9488   6.4791
   20.1125   3.0775   5.9262   6.4464
   20.1125   3.0865   5.9037   6.4142
   20.1125   3.0955   5.8812   6.3811
   20.1125   3.1045   5.8587   6.3493
   20.1125   3.1135   5.8362   6.3171
   20.1125   3.1225   5.8137   6.2849
   20.1125   3.1315   5.7913   6.2528
   20.1125   3.1405   5.7688   6.2208
   20.1125   3.1495   5.7464   6.1890
   20.1125   3.1585   5.7240   6.1565
   20.1125   3.1675   5.7016   6.1251
   20.1125   3.1765   5.6793   6.0937
   20.1125   3.1855   5.6569   6.0625
   20.1125   3.1945   5.6345   6.0310
   20.1125   3.2035   5.6122   5.9995
   20.1125   3.2125   5.5899   5.9684
   20.1125   3.2215   5.5676   5.9375
   20.1125   3.2305   5.5452   5.9065
   20.1125   3.2395   5.5230   5.8757
   20.6125   2.9605   5.4763   6.0019
   20.6125   2.9695   5.4545   5.9693
   20.6125   2.9785   5.4327   5.9371
   20.6125   2.9875   5.4110   5.9058
   20.6125   2.9965   5.3892   5.8741
   20.6125   3.0055   5.3675   5.8428
   20.6125   3.0145   5.3458   5.8121
   20.6125   3.0235   5.3241   5.7805
   20.6125   3.0325   5.3025   5.7501
   20.6125   3.0415   5.2809   5.7196
   20.6125   3.0505   5.2593   5.6888
