nrun  S2L1    S2L2    S2L3    S2L4    S2L5    S2L6    S2L7    S2L8    S2L9    S2L10   S2L11   S2L12   S2L13   S2L14   S2L15  S2L16
1407  0.12  0.16  0.20  0.53  0.23  -0.10  0.26  0.46  0.30  0.40  0.33  0.44  0.14  0.26  0.34  0.08  
1408  0.59  0.56  0.19  0.24  0.22  0.08  0.23  0.42  0.33  0.41  0.40  0.52  -0.12  0.21  0.16  0.11  
1409  0.28  0.19  0.35  0.25  0.32  -0.05  0.31  0.55  0.44  0.33  -0.03  0.44  0.04  0.41  0.28  0.11  
1410  0.32  0.23  0.16  0.27  0.25  -0.07  0.36  0.37  0.29  0.42  0.16  0.61  -0.12  0.52  0.44  0.10  
1411  0.22  0.19  0.36  0.49  0.16  0.03  0.21  0.35  0.20  0.41  0.29  0.59  0.02  0.48  0.40  0.00  
1412  0.21  0.29  0.25  0.42  0.14  0.07  0.26  0.36  0.26  0.56  0.16  0.52  -0.03  0.61  0.28  0.17  
1413  0.26  0.24  0.33  0.21  0.26  0.22  0.33  0.48  0.38  0.51  0.10  0.47  -0.01  0.21  0.27  0.09  
1414  0.20  0.31  0.32  0.26  0.33  -0.01  0.27  0.33  0.34  0.48  0.03  0.43  -0.24  0.30  0.35  -0.08  
1415  0.07  0.10  0.47  0.39  0.18  0.06  0.41  0.35  0.38  0.69  0.06  0.40  -0.14  0.49  0.16  -0.02  
1416  0.27  0.41  0.16  0.24  0.23  -0.08  0.36  0.26  0.28  0.55  0.13  0.52  -0.22  0.46  0.47  0.22  
1420  -0.01  0.24  0.05  0.22  0.19  -0.13  0.47  0.39  0.30  0.26  0.32  0.36  -0.00  0.14  0.27  -0.20  
1422  0.31  0.10  0.25  0.32  0.27  0.01  0.46  0.39  0.36  0.49  0.17  0.50  -0.10  0.29  0.27  0.15  
1423  0.41  0.10  0.48  0.05  0.29  0.00  0.36  0.16  0.25  0.47  0.50  0.59  -0.01  0.41  0.59  0.38  
1425  0.12  0.29  0.35  0.39  0.36  0.15  0.16  0.49  0.25  0.52  0.36  0.61  -0.17  0.51  0.34  0.02  
1426  0.30  0.20  0.23  0.38  0.21  0.13  0.36  0.50  0.40  0.61  0.07  0.40  0.02  0.33  0.37  0.05  
1427  0.13  0.20  0.42  0.28  0.42  0.07  0.30  0.31  0.36  0.62  0.09  0.34  0.07  0.57  0.39  0.12  
1428  0.34  0.18  0.25  0.33  0.21  0.30  0.15  0.50  0.39  0.33  0.08  0.49  -0.12  0.49  0.36  0.09  
1429  0.10  0.19  0.50  0.01  0.36  0.14  0.56  0.28  0.38  0.63  0.21  0.74  0.03  0.38  0.57  -0.12  
1430  0.37  0.10  0.35  0.40  0.29  -0.11  0.18  0.40  0.35  0.37  0.24  0.43  -0.07  0.64  0.19  0.15  
