nrun  s0l     s0r     flag
1346  403.85  405.47  0
1347  404.05  407.30  0
1348  403.69  406.49  0
1350  400.26  410.72  0
1351  401.07  408.76  0
1352  403.80  405.19  0
1353  402.46  405.96  0
1354  403.66  404.93  0
1355  404.88  402.77  0
1356  402.69  406.72  0
1357  403.02  406.79  0
1358  404.36  405.59  0
1359  404.21  405.55  0
1360  404.44  405.90  0
1362  409.93  401.59  0
1363  401.44  415.76  0
1364  403.64  400.68  0
1366  408.46  396.44  0
1367  405.40  399.65  0
1368  406.67  399.43  0
1369  405.82  402.56  0
1370  407.82  399.09  0
1371  403.19  404.70  0
1372  401.25  407.21  0
1373  407.64  400.08  0
1374  406.99  401.84  0
1375  407.60  393.95  0
1376  406.06  396.69  0
1377  406.72  401.07  0
1378  406.90  400.08  0
1379  409.34  403.26  0
1380  407.81  395.53  0
1381  402.71  405.44  0
1382  404.75  405.79  0
1383  407.16  402.98  0
1384  404.76  399.60  0
1386  406.79  399.59  0
1387  405.41  399.99  0
1388  408.12  398.55  0
1389  408.51  400.68  0
1390  406.40  401.49  0
1392  405.32  396.23  0
1394  402.43  409.27  0
1397  416.09  392.68  0
1398  418.02  384.95  0
1399  412.80  394.08  0
1402  413.19  395.47  0
1403  411.71  392.52  0
1404  411.79  392.16  0
1405  406.83  400.45  0
1406  408.69  397.89  0
1407  413.01  388.34  0
1408  411.92  393.86  0
1409  409.71  393.33  0
1410  412.34  388.28  0
1411  411.99  387.93  0
1412  408.64  391.06  0
1413  412.75  395.89  0
1414  413.43  391.70  0
1415  416.98  387.08  0
1416  411.79  393.09  0
1420  409.96  382.01  0
1422  406.82  397.60  0
1423  446.54  401.72  0
1425  406.39  398.58  0
1426  414.49  383.90  0
1427  409.31  394.62  0
1428  412.68  392.51  0
1429  414.20  383.86  0
1430  412.34  388.95  0
1431  412.58  394.04  0
1432  414.43  397.88  0
1433  410.90  391.92  0
1434  412.38  396.04  0
1435  413.52  395.77  0
1436  412.79  393.32  0
1437  411.25  395.23  0
1438  410.86  390.00  0
1439  406.99  396.67  0
1440  409.93  396.71  0
1441  420.30  390.23  0
1446  426.46  399.62  0
1450  412.63  392.01  0
1451  410.92  390.64  0
1452  418.24  394.90  0
1453  414.87  395.81  0
1454  410.34  388.38  0
1455  412.28  391.63  0
1456  416.32  395.08  0
1457  408.64  390.46  0
1458  407.61  389.37  0
1459  413.93  394.38  0
1460  407.91  396.07  0
1461  405.61  395.26  0
1462  411.14  393.35  0
1463  408.13  390.90  0
1464  411.46  403.60  0
1465  412.45  395.17  0
1466  412.94  393.36  0
1468  413.85  387.09  0
1469  413.31  385.92  0
1470  415.62  390.78  0
1472  405.48  400.36  0
1475  419.07  382.61  0
1476  423.48  381.90  0
1477  414.42  379.97  0
1478  405.86  396.24  0
1479  410.44  399.36  0
1482  415.71  388.77  0
1483  421.81  386.10  0
1484  420.43  383.77  0
1485  415.93  376.66  0
1486  414.73  380.05  0
1487  416.45  380.41  0
1488  416.17  384.96  0
1489  418.94  383.70  0
1490  417.98  385.60  0
1491  421.01  382.57  0
1492  419.81  381.39  0
1493  410.07  384.16  0
1494  414.05  383.88  0
1495  414.93  385.25  0
1496  412.69  376.59  0
1501  411.47  392.25  0
1502  415.84  382.79  0
1503  411.72  370.22  0
1504  418.08  379.12  0
1505  422.51  382.92  0
1506  418.39  378.85  0
1510  447.89  400.65  0
1513  446.96  398.23  0
1515  446.35  392.43  0
1516  443.57  398.34  0
1518  429.78  390.29  0
1520  402.39  384.07  0
1521  406.53  398.26  0
1525  411.74  380.60  0
1526  418.64  377.92  0
1528  422.22  380.70  0
1529  416.38  376.19  0
1530  417.01  383.50  0
1531  407.00  384.40  0
1532  413.37  380.29  0
1533  415.78  380.22  0
1540  424.06  386.00  0
1541  419.59  384.14  0
1542  420.89  383.23  0
1543  423.89  385.74  0
1545  418.68  385.61  0
1546  413.94  381.11  0
1547  416.53  381.94  0
1548  408.25  381.88  0
1549  412.61  384.97  0
1550  424.37  385.80  0
1551  449.12  400.93  0
1553  420.31  380.54  0
1557  416.82  384.29  0
1558  416.44  382.42  0
1559  412.44  381.93  0
1560  412.33  382.88  0
1561  415.30  379.42  0
1562  418.71  383.78  0
1563  416.14  383.00  0
1564  417.79  381.32  0
1565  417.29  381.01  0
1566  416.85  380.78  0
1567  411.77  383.90  0
1568  411.96  384.82  0
1569  413.91  374.51  0
1571  419.16  384.63  0
1572  420.09  382.86  0
1576  416.04  381.48  0
1577  420.18  381.53  0
1578  404.56  399.62  0
1579  428.09  386.08  0
1580  416.15  382.59  0
1581  416.38  380.38  0
1582  414.32  381.70  0
1583  417.76  381.48  0
1584  414.83  382.63  0
1585  414.20  383.07  0
1586  415.06  382.79  0
1587  408.53  385.08  0
1588  411.09  383.25  0
1589  416.04  382.42  0
1590  414.78  381.11  0
1591  415.48  383.09  0
1592  418.20  378.67  0
1593  418.49  379.80  0
1594  410.63  386.41  0
1595  413.84  381.34  0
1596  414.86  385.72  0
1597  411.79  386.01  0
1598  420.80  379.26  0
1599  410.84  381.16  0
1600  422.08  379.77  0
1601  446.64  388.70  0
1604  417.27  380.10  0
1605  412.76  380.43  0
1606  415.76  382.44  0
1607  420.27  385.53  0
1608  417.36  384.37  0
1609  415.21  383.80  0
1610  418.48  384.33  0
1611  417.35  376.09  0
1612  416.33  382.43  0
1613  415.17  382.34  0
1614  416.61  384.42  0
1615  416.82  382.85  0
1616  420.54  382.16  0
1617  414.63  379.73  0
1618  416.01  379.04  0
1619  415.80  383.00  0
1624  406.93  391.41  0
1625  406.29  380.03  0
1627  425.86  374.49  0
1628  421.51  375.36  0
1629  419.18  375.89  0
1630  422.75  382.84  0
1631  418.89  374.07  0
1632  422.50  374.02  0
1633  420.48  373.60  0
1634  421.12  373.10  0
1635  425.93  376.96  0
1636  424.48  381.47  0
1637  422.44  375.80  0
1639  415.51  379.51  0
1640  407.82  375.35  0
1641  423.64  379.43  0
1642  423.72  372.44  0
1643  425.89  371.18  0
1644  419.08  378.84  0
1645  424.25  379.02  0
1646  426.46  383.31  0
1648  421.30  384.15  0
1650  415.77  379.16  0
1651  419.69  376.36  0
1652  422.95  370.91  0
1653  430.54  376.70  0
1654  418.31  376.87  0
1655  420.10  372.87  0
1656  422.24  379.89  0
1657  416.38  381.99  0
1658  421.21  379.52  0
1659  423.33  371.97  0
1660  424.07  376.09  0
1661  420.58  377.08  0
1664  421.22  374.94  0
1665  425.92  380.45  0
1666  424.20  370.69  0
1667  419.47  372.49  0
1668  420.28  372.43  0
1672  420.26  378.45  0
1673  416.17  375.34  0
1674  418.61  377.55  0
1675  423.14  377.11  0
1676  429.62  375.09  0
1677  426.28  370.02  0
1680  426.97  375.56  0
1681  419.06  375.33  0
1682  419.06  373.21  0
1683  420.77  373.11  0
1684  413.06  372.24  0
1685  418.92  375.15  0
1686  418.88  373.08  0
1687  421.10  382.43  0
1688  426.28  378.40  0
1689  419.90  385.57  0
1690  421.63  377.14  0
1691  420.15  378.91  0
1692  420.24  378.57  0
1693  414.99  373.46  0
1694  418.29  374.22  0
1695  418.11  373.09  0
1696  424.59  374.71  0
1698  419.21  376.18  0
1699  423.01  377.06  0
1700  425.95  378.88  0
1701  414.32  387.46  0
1702  423.29  373.25  0
1704  414.16  375.81  0
1705  420.96  378.09  0
1706  420.29  376.43  0
1707  425.72  375.04  0
1708  424.76  375.53  0
1709  416.32  375.75  0
1710  419.65  376.43  0
1711  420.59  372.44  0
1712  419.53  376.29  0
1713  422.91  375.38  0
1714  423.12  377.14  0
1715  420.86  375.80  0
1716  418.50  375.70  0
1717  416.71  378.10  0
1718  420.16  379.35  0
1721  418.14  376.01  0
1722  425.72  381.49  0
1725  447.82  386.48  0
1730  418.25  370.70  0
1731  414.40  379.93  0
1732  418.68  374.22  0
1733  417.70  376.12  0
1734  420.53  376.11  0
1735  420.84  371.79  0
1736  420.33  372.08  0
1737  422.69  384.35  0
1738  418.80  382.40  0
1739  423.94  375.36  0
1740  417.25  376.62  0
1741  430.61  376.97  0
1742  425.15  373.42  0
1743  418.60  380.21  0
1744  413.75  379.82  0
1745  419.34  374.66  0
1746  419.30  376.07  0
1747  420.63  378.77  0
1748  419.70  377.93  0
1749  421.57  377.92  0
1750  425.41  384.70  0
1751  423.53  376.91  0
1752  420.13  374.79  0
1753  420.35  378.89  0
1754  419.16  376.31  0
1755  419.28  375.42  0
1756  414.56  371.63  0
1757  417.67  375.29  0
1758  422.52  376.22  0
1759  420.23  374.47  0
1760  420.64  374.96  0
1761  422.30  381.09  0
1762  416.97  372.63  0
1763  422.92  380.60  0
1765  448.62  390.43  0
1768  435.42  384.07  0
1769  420.20  372.22  0
1770  415.91  377.02  0
1771  422.49  378.29  0
1772  427.44  379.00  0
1773  419.06  378.46  0
1774  417.10  375.65  0
1775  411.07  377.38  0
1777  459.47  391.56  0
1779  416.33  376.11  0
1781  418.73  372.81  0
1783  422.27  372.94  0
1784  413.01  375.52  0
1788  424.59  369.38  0
1789  423.92  370.34  0
1791  417.09  377.53  0
1792  420.71  373.21  0
1793  416.99  373.37  0
1794  421.78  376.85  0
1795  423.90  382.73  0
1798  420.35  378.27  0
1800  418.47  377.17  0
1801  423.86  383.66  0
1802  450.46  396.76  0
1804  422.98  378.07  0
1805  417.12  370.56  0
1806  423.61  368.74  0
1807  424.66  377.02  0
1809  428.93  391.83  0
1810  426.78  371.27  0
1811  419.47  375.62  0
1812  423.86  376.47  0
1835  416.18  382.82  0
1838  409.82  377.41  0
1840  423.51  371.82  0
1841  433.71  375.43  0
1842  419.86  368.63  0
1844  429.53  377.50  0
1845  425.28  376.26  0
1848  417.14  380.76  0
1850  442.12  386.31  0
1851  426.15  374.40  0
1855  414.31  374.57  0
1857  415.71  370.47  0
1858  417.92  371.81  0
1859  422.09  370.87  0
1860  425.80  368.31  0
1861  422.16  368.14  0
1862  418.78  370.13  0
1863  421.74  371.26  0
1864  429.32  363.93  0
1865  431.98  372.08  0
1866  428.50  364.02  0
1867  427.42  364.66  0
1868  420.05  371.41  0
1869  423.45  366.28  0
1870  426.97  376.88  0
1871  426.43  378.53  0
1874  425.34  377.41  0
1875  438.88  381.17  0
1876  424.54  369.72  0
1877  447.84  383.22  0
1879  429.19  373.06  0
1880  424.63  374.29  0
1881  426.85  366.64  0
1882  425.23  370.50  0
1883  428.30  384.30  0
1892  423.73  366.97  0
1893  429.52  375.68  0
1894  431.19  381.21  0
1895  427.35  371.38  0
1896  418.70  373.13  0
1897  427.29  374.37  0
1898  428.16  371.46  0
1899  430.94  369.99  0
1901  452.51  391.14  0
1902  451.61  396.34  0
1904  449.52  393.22  0
1905  448.95  392.50  0
1906  440.85  386.81  0
1909  430.93  393.77  0
1913  430.17  371.26  0
1914  435.96  379.42  0
1916  416.06  369.59  0
1917  426.53  365.09  0
1918  438.97  381.39  0
1919  424.10  371.42  0
1920  425.09  366.11  0
1921  424.67  369.58  0
1922  425.57  367.05  0
1924  422.97  363.59  0
1925  424.75  371.81  0
1926  421.24  366.07  0
1927  418.38  366.85  0
1928  417.95  363.34  0
1929  420.03  366.45  0
1930  418.54  370.25  0
1931  424.04  371.09  0
1932  422.22  364.23  0
1933  426.76  370.30  0
1934  424.43  368.35  0
1935  422.30  370.29  0
1936  425.18  368.47  0
1937  423.98  370.49  0
1938  429.97  375.28  0
1939  427.18  370.25  0
1940  444.52  386.14  0
1941  434.57  374.16  0
1942  425.85  381.32  0
1943  432.13  370.43  0
1944  440.47  404.42  0
1945  432.31  375.55  0
1946  431.52  372.48  0
1947  425.59  371.60  0
1948  427.72  369.17  0
1949  426.92  370.69  0
1950  429.45  377.69  0
1951  431.76  373.05  0
1952  429.40  363.44  0
1953  430.32  364.82  0
1955  420.96  371.58  0
1957  438.34  376.28  0
1958  419.97  369.81  0
1960  425.24  374.62  0
1961  427.40  376.47  0
1962  427.24  375.35  0
1963  430.09  376.94  0
1964  427.77  367.09  0
1965  428.33  368.30  0
1966  429.24  376.67  0
1967  437.10  372.27  0
1968  429.99  363.21  0
1972  433.48  384.31  0
1974  440.11  386.02  0
1975  434.63  384.23  0
1976  445.19  382.02  0
1977  440.77  383.73  0
1980  412.39  363.10  0
1981  443.45  377.16  0
1982  426.84  369.50  0
1983  425.05  373.34  0
1984  423.86  373.13  0
1985  428.75  373.09  0
1986  421.72  371.22  0
1987  427.67  376.22  0
1988  424.28  367.73  0
1989  425.52  368.46  0
1990  429.55  363.61  0
1991  425.37  370.85  0
1992  423.29  362.16  0
1993  434.61  388.20  0
1994  425.40  367.62  0
1995  421.26  368.99  0
1996  429.21  369.48  0
1997  424.28  369.21  0
1998  424.76  369.37  0
1999  427.02  370.38  0
2000  425.15  371.29  0
2001  424.81  377.19  0
2002  427.45  373.35  0
2003  431.58  371.89  0
2004  425.66  369.10  0
2005  432.99  373.98  0
2006  428.71  373.52  0
2007  419.95  380.68  0
2008  411.99  374.70  0
2010  429.57  373.20  0
2011  426.10  366.61  0
2012  434.05  375.56  0
2013  426.32  373.10  0
2014  417.61  366.55  0
2015  432.94  366.64  0
2016  424.30  372.08  0
2017  426.63  370.64  0
2018  427.67  368.19  0
2019  428.61  372.76  0
2020  422.65  366.81  0
2021  429.11  367.23  0
2022  426.73  374.00  0
2023  439.16  372.40  0
2024  433.64  368.04  0
2025  429.87  366.53  0
2026  450.43  389.67  0
2031  432.34  362.83  0
2032  432.49  365.47  0
2033  434.06  370.49  0
2034  421.29  366.63  0
2035  420.48  370.75  0
2041  453.09  395.21  0
2044  414.02  380.46  0
2045  426.60  369.36  0
2046  420.82  369.48  0
2047  421.84  368.43  0
2048  427.37  368.67  0
2049  429.77  365.49  0
2050  430.98  373.08  0
2051  430.67  374.11  0
2052  424.41  373.36  0
2053  424.49  374.29  0
2054  423.88  366.95  0
2055  420.81  370.24  0
2057  406.24  390.42  0
2058  426.50  373.29  0
2059  432.96  379.21  0
2060  432.54  369.95  0
2061  425.00  367.66  0
2062  426.30  371.23  0
2063  427.03  369.77  0
2064  426.07  373.04  0
2065  423.92  368.05  0
2066  427.31  365.35  0
2067  428.57  365.00  0
2068  432.28  362.43  0
2069  419.24  369.76  0
2070  424.03  371.34  0
2071  436.05  372.86  0
2072  432.66  375.18  0
2073  437.14  379.61  0
2074  431.84  376.50  0
2075  423.85  370.33  0
2076  425.74  366.22  0
2077  426.86  370.30  0
2078  419.20  367.09  0
2079  429.29  367.61  0
2080  441.16  378.13  0
2081  422.99  370.61  0
2082  424.09  367.13  0
2083  418.13  366.65  0
2084  425.94  366.84  0
2085  431.11  372.58  0
2086  422.86  362.91  0
2087  425.94  375.01  0
2088  423.69  375.65  0
2089  424.30  372.64  0
2090  429.45  371.30  0
2091  428.27  367.58  0
2092  424.76  364.36  0
2093  425.59  373.92  0
2094  430.19  369.73  0
2095  429.33  370.12  0
2096  425.77  376.27  0
2097  423.07  368.59  0
2098  425.02  366.51  0
2099  422.91  363.92  0
2100  421.19  364.64  0
2101  420.73  368.79  0
2102  421.84  366.82  0
2103  424.36  365.44  0
2104  420.63  366.95  0
2106  430.09  366.97  0
2107  423.31  370.25  0
2108  426.62  372.05  0
2109  419.19  371.41  0
2110  429.91  369.56  0
2111  423.06  373.80  0
2112  410.89  375.19  0
2113  411.08  376.75  0
2116  426.20  375.31  0
2117  424.04  370.37  0
2118  431.01  375.41  0
2119  422.90  371.60  0
2120  424.89  363.77  0
2121  424.16  366.35  0
2122  433.33  373.96  0
2123  425.36  370.64  0
2124  420.11  365.16  0
2125  425.06  364.10  0
2126  426.55  372.28  0
2127  423.76  367.98  0
2128  425.11  369.85  0
2129  425.13  370.43  0
2130  421.44  364.33  0
2131  424.09  366.09  0
2132  426.91  367.05  0
2133  420.06  365.11  0
2134  432.02  366.77  0
2135  421.30  364.82  0
2136  419.31  368.13  0
2137  431.33  370.05  0
2138  419.68  368.71  0
2139  422.17  366.26  0
2140  424.16  368.78  0
2141  424.65  364.76  0
2142  417.08  369.17  0
2143  425.14  366.60  0
2144  418.84  366.42  0
2145  425.47  365.05  0
2146  424.11  366.10  0
2147  422.95  366.38  0
2148  428.81  371.40  0
2149  426.23  363.95  0
2150  430.09  362.69  0
2151  429.10  364.11  0
2152  421.39  371.76  0
2153  419.98  368.05  0
2154  426.02  370.64  0
2155  420.46  367.36  0
2156  425.76  371.98  0
2157  427.19  373.44  0
2158  424.39  370.51  0
2159  429.87  370.15  0
2160  426.59  365.74  0
2161  424.13  366.46  0
2162  433.71  372.06  0
2163  425.64  372.03  0
2164  421.56  369.26  0
2165  423.86  370.38  0
2166  421.34  364.52  0
2167  420.44  366.61  0
2168  419.88  366.82  0
2169  416.21  369.59  0
2170  428.53  373.08  0
2171  436.70  372.84  0
2173  405.52  391.70  0
2174  425.58  365.85  0
2175  418.55  364.71  0
2176  423.85  366.73  0
2177  420.40  367.27  0
2178  422.30  364.59  0
2179  422.09  370.13  0
2180  417.95  364.73  0
2181  416.29  368.31  0
2182  423.38  368.91  0
2183  421.13  362.02  0
2184  424.87  366.76  0
2185  418.10  370.33  0
2186  418.81  371.33  0
2187  427.52  364.56  0
2188  425.92  374.37  0
2189  416.28  367.56  0
2190  422.06  368.70  0
2191  424.27  370.85  0
2192  422.13  370.77  0
2193  417.61  364.30  0
2194  424.79  364.21  0
2195  421.58  365.79  0
2196  424.99  364.01  0
2197  435.70  381.01  0
2198  417.06  363.84  0
2199  425.64  370.31  0
2200  422.72  369.19  0
2201  426.40  367.48  0
2202  427.37  369.24  0
2203  418.09  369.62  0
2204  411.33  359.90  0
2205  417.39  367.54  0
2206  422.77  366.85  0
2207  431.18  372.71  0
2208  418.38  368.40  0
2209  415.20  365.78  0
2210  424.78  366.12  0
2211  425.66  367.70  0
2212  430.53  366.89  0
2213  429.58  369.73  0
2214  426.52  364.01  0
2215  425.47  368.95  0
2216  420.88  369.08  0
2218  423.42  365.06  0
2219  426.70  368.74  0
2220  419.09  371.51  0
2221  421.47  370.24  0
2222  418.45  366.90  0
2223  421.56  370.32  0
2224  428.78  369.03  0
2225  423.23  366.06  0
2226  422.34  366.43  0
2227  425.36  370.15  0
2228  426.14  367.66  0
2229  423.71  372.61  0
2230  439.91  374.16  0
2232  432.96  365.95  0
2233  424.20  363.71  0
2234  428.05  371.64  0
2235  427.05  369.81  0
2236  419.17  365.05  0
2237  420.30  364.14  0
2238  427.47  374.75  0
2240  409.53  371.98  0
2242  429.16  372.23  0
2243  426.77  371.44  0
2244  425.47  367.87  0
2245  429.71  370.29  0
2246  426.28  377.55  0
2247  423.46  370.37  0
2248  423.45  374.26  0
2249  423.12  368.03  0
2250  425.16  369.43  0
2251  433.80  368.27  0
2252  423.06  363.72  0
2253  424.33  363.04  0
2254  423.02  362.98  0
2255  420.32  365.29  0
2257  423.31  368.36  0
2258  423.45  366.23  0
2259  421.02  368.16  0
2260  419.42  366.84  0
2261  424.01  369.44  0
2262  425.41  364.42  0
2263  423.21  369.24  0
2265  420.23  364.92  0
2266  426.03  367.01  0
2267  425.65  363.27  0
2268  425.07  364.54  0
2269  417.75  364.82  0
2270  419.65  369.26  0
2272  421.89  368.39  0
2273  418.85  371.67  0
2274  424.96  368.26  0
2275  420.72  370.77  0
2276  422.78  367.08  0
2277  421.39  368.25  0
2278  426.66  367.54  0
2279  424.75  366.64  0
2280  425.56  368.93  0
2281  425.42  372.18  0
2282  431.47  375.82  0
2283  426.13  367.73  0
2284  425.96  369.54  0
2285  430.20  367.45  0
2286  427.33  372.69  0
2287  424.82  372.14  0
2288  424.78  376.03  0
2289  420.45  373.19  0
2290  427.04  371.51  0
2324  392.56  397.29  0
2325  391.87  396.20  0
2326  391.51  396.00  0
2327  391.79  395.71  0
2328  392.97  395.26  0
2329  391.98  396.24  0
2330  391.73  396.57  0
2331  390.38  395.95  0
2332  390.99  395.88  0
2333  391.64  396.26  0
2334  391.78  396.36  0
2335  393.90  397.75  0
2336  394.28  396.25  0
2337  393.78  399.10  0
2338  394.10  399.35  0
2339  392.71  398.27  0
2340  393.05  399.30  0
2341  398.45  394.50  0
2342  399.03  396.22  0
2343  399.42  394.05  0
2344  455.86  397.78  0
2345  397.17  395.86  0
2346  396.85  395.63  0
2347  398.13  395.78  0
2348  397.94  395.54  0
2349  397.30  396.06  0
2350  397.30  395.39  0
2351  397.82  395.71  0
2352  397.39  396.28  0
2354  398.18  396.18  0
2355  396.83  395.11  0
2356  397.87  393.42  0
2357  403.64  388.24  0
2358  429.28  371.83  0
2359  449.48  406.47  0
2360  391.55  393.75  0
2361  391.66  394.36  0
2362  391.62  393.51  0
2363  391.27  394.58  0
2364  391.68  396.83  0
2365  391.73  395.98  0
2366  391.21  396.53  0
2367  391.14  396.75  0
2368  392.96  397.80  0
2369  392.13  396.39  0
2370  392.80  396.36  0
2371  393.00  396.11  0
2372  393.00  398.52  0
2373  392.87  397.37  0
2374  393.04  398.09  0
2375  394.75  396.40  0
2376  392.66  396.04  0
2377  396.26  394.31  0
2378  402.71  388.01  0
2379  424.27  375.21  0
2380  438.93  392.67  0
2381  390.02  390.04  0
2383  390.02  391.09  0
2384  391.55  395.06  0
2385  390.69  390.78  0
2386  388.96  389.87  0
2387  390.35  393.00  0
2388  393.03  393.79  0
2389  388.03  389.62  0
2390  391.10  388.30  0
2391  390.44  395.97  0
2392  391.72  397.28  0
2393  389.15  398.63  0
2394  391.09  396.30  0
2395  391.37  396.32  0
2396  447.86  387.53  0
2399  402.47  388.59  0
2400  399.62  396.82  0
2401  391.09  392.56  0
2402  392.89  395.51  0
2403  390.45  393.19  0
2404  410.37  400.81  0
2405  413.92  411.47  0
2406  412.97  408.50  0
2407  413.92  411.08  0
2408  413.10  410.26  0
2410  412.50  410.44  0
2412  412.54  410.24  0
2413  413.14  410.93  0
2414  413.57  411.85  0
2415  446.18  434.93  0
2416  451.39  433.88  0
2417  448.73  432.25  0
2418  446.44  434.51  0
2420  413.00  417.61  0
2422  412.60  416.94  0
2423  412.52  417.29  0
2424  412.67  417.25  0
2425  412.98  419.08  0
2426  413.05  418.91  0
2427  410.71  412.62  0
2428  410.09  412.66  0
2429  408.17  410.96  0
2431  415.65  403.39  0
2432  425.59  376.94  0
2433  416.72  373.04  0
2435  410.14  405.34  0
2436  409.75  406.10  0
2437  409.24  412.30  0
2438  409.34  412.47  0
2439  409.35  412.26  0
2440  410.20  412.87  0
2441  411.35  412.27  0
2442  411.81  411.62  0
2443  411.49  411.86  0
2444  411.07  411.54  0
2445  409.97  413.30  0
2446  411.43  412.29  0
2447  411.39  419.59  0
2448  410.93  419.88  0
2449  409.13  420.56  0
2450  409.80  420.47  0
2451  408.68  420.89  0
2452  408.50  420.74  0
2453  412.44  418.85  0
2454  412.35  418.41  0
2455  412.03  419.09  0
2457  411.89  418.35  0
2458  411.53  418.36  0
2459  412.24  418.44  0
2460  412.24  418.70  0
2461  413.29  417.93  0
2462  413.18  417.54  0
2468  399.14  382.53  0
2470  400.08  392.48  0
2473  400.41  394.68  0
2474  437.35  392.43  0
2475  400.54  391.54  0
2476  400.23  393.42  0
2477  399.82  393.90  0
2478  400.00  393.35  0
2479  400.33  393.14  0
2480  399.46  394.17  0
2481  399.49  393.32  0
2482  400.47  392.98  0
2483  399.37  394.06  0
2484  399.17  393.87  0
2485  399.24  393.68  0
2486  399.39  393.98  0
2487  399.22  394.15  0
2488  399.07  394.39  0
2489  399.72  393.84  0
2490  399.72  394.03  0
2491  399.97  392.28  0
2492  399.14  392.49  0
2493  399.65  392.91  0
2494  399.73  392.34  0
2495  398.92  392.74  0
2496  398.78  392.37  0
2497  398.45  393.01  0
2498  399.42  392.10  0
2499  400.90  393.75  0
2500  400.37  392.65  0
2501  400.06  391.73  0
2502  399.95  392.25  0
2503  399.79  392.25  0
2504  399.68  394.44  0
2505  399.40  393.17  0
2506  399.43  391.23  0
2507  399.00  392.78  0
2508  399.47  392.59  0
2509  399.40  391.93  0
2510  400.29  392.90  0
2511  399.88  392.54  0
2512  400.06  392.85  0
2513  399.98  393.30  0
2514  400.12  392.21  0
2515  399.18  393.28  0
2516  399.73  392.63  0
2518  442.53  365.07  0
2519  399.75  392.81  0
2520  399.66  392.25  0
2521  399.56  392.93  0
2522  400.15  392.31  0
2523  403.78  388.75  0
2524  400.15  392.63  0
2525  400.06  392.42  0
2526  400.03  392.74  0
2527  399.43  392.89  0
2528  400.02  393.25  0
2529  399.55  391.16  0
2530  399.77  393.08  0
2531  399.88  393.15  0
2532  401.14  393.01  0
2533  399.17  390.99  0
2534  399.67  393.01  0
2535  400.14  393.11  0
2536  399.93  393.53  0
2537  399.43  393.38  0
2538  399.60  392.92  0
2539  399.81  392.96  0
2540  399.78  392.95  0
2541  400.22  393.75  0
2542  399.61  392.03  0
2543  399.78  393.31  0
2544  400.29  394.04  0
2545  400.37  392.38  0
2546  399.51  392.69  0
2547  400.30  393.37  0
2548  399.90  392.52  0
2549  399.74  393.10  0
2550  400.03  392.28  0
2551  399.52  393.33  0
2552  400.14  393.36  0
2553  399.72  393.05  0
2554  399.49  393.01  0
2555  400.84  392.74  0
2556  398.88  393.95  0
2557  399.42  393.61  0
2558  399.88  394.03  0
2559  400.08  393.85  0
2560  399.32  394.28  0
2561  399.44  394.03  0
