nrun  S2L1    S2L2    S2L3    S2L4    S2L5    S2L6    S2L7    S2L8    S2L9    S2L10   S2L11   S2L12   S2L13   S2L14   S2L15   S2L16   flag
1291  295.86  294.98  294.48  296.31  296.64  293.51  298.66  295.91  305.78  295.16  294.26  294.70  292.26  293.61  290.36  298.12  0
1292  293.24  295.40  295.14  295.80  297.12  293.71  297.90  295.98  304.72  294.86  294.62  294.58  292.71  294.05  290.25  299.71  0
1293  295.89  295.44  295.73  296.10  297.09  293.64  297.98  294.52  305.45  295.26  294.00  293.89  292.20  294.39  290.55  297.89  0
1294  294.18  295.80  294.78  296.41  296.83  293.62  297.57  294.17  304.82  294.45  294.34  294.92  292.05  293.62  289.54  298.34  0
1295  292.75  292.01  291.00  292.12  291.83  290.15  295.82  295.39  303.95  294.19  293.50  294.51  292.23  294.29  290.62  297.88  0
1296  290.62  290.96  289.11  291.27  289.92  288.69  293.73  297.12  300.15  292.27  291.93  292.72  291.34  291.98  289.16  299.02  0
1297  292.62  291.05  289.64  290.69  289.95  288.71  293.64  293.03  301.30  291.86  292.29  293.43  291.54  293.45  289.39  299.05  0
1298  294.42  290.21  288.97  291.46  290.18  288.65  293.57  292.21  300.59  292.04  291.75  293.73  291.35  293.62  290.53  301.71  0
1299  295.01  292.42  289.71  291.52  290.36  289.57  293.27  292.55  301.49  291.83  291.93  293.40  291.10  293.86  290.17  299.26  0
1300  289.91  288.15  287.11  288.01  286.68  286.47  291.29  286.44  298.24  291.09  289.93  291.64  290.29  293.40  289.58  296.78  0
1301  290.29  288.84  286.05  288.01  286.72  285.10  290.54  289.47  297.98  290.13  290.41  291.54  290.13  292.84  290.27  297.86  0
1309  335.73  320.49  334.21  332.85  317.01  315.45  326.43  323.60  317.31  312.53  330.70  340.51  331.83  320.03  330.98  327.10  0
1312  321.75  301.94  292.77  301.90  298.02  291.99  299.19  301.71  302.05  290.43  290.40  294.01  291.37  296.22  287.76  315.65  0
1313  292.39  292.12  288.06  291.72  290.26  288.45  292.87  291.94  298.47  290.44  288.16  294.07  289.80  288.41  284.00  299.91  0
1318  340.79  332.36  327.30  326.18  324.54  321.61  334.90  319.13  318.14  314.80  306.35  326.41  339.75  317.24  308.75  299.67  0
1322  291.64  290.98  287.57  290.64  288.55  287.93  293.27  289.54  297.93  289.79  289.97  292.23  289.75  292.49  290.32  304.33  0
1323  292.43  290.83  288.65  289.60  289.22  289.64  292.57  294.55  297.66  290.64  290.85  293.65  290.09  292.86  291.64  300.03  0
1325  300.75  298.67  292.87  299.56  296.40  292.06  298.00  302.71  300.15  290.25  291.23  288.31  290.17  292.25  288.36  327.65  0
1326  297.84  293.15  291.29  291.71  288.83  289.48  292.06  295.62  297.66  290.64  289.30  293.22  290.32  292.52  289.01  303.58  0
1327  292.65  290.49  288.64  290.64  289.10  287.61  293.00  294.06  299.13  290.21  290.00  292.64  289.61  292.06  289.17  300.09  0
1328  289.98  290.31  288.57  290.84  289.37  288.36  292.74  295.90  299.04  290.17  290.39  292.61  290.42  291.93  290.08  299.00  0
1329  300.47  297.08  295.33  297.35  296.62  295.14  299.50  303.91  304.75  293.71  295.33  295.35  292.74  294.64  292.04  301.83  0
1331  297.45  297.16  294.77  296.22  296.38  294.57  298.98  303.36  304.88  294.42  295.25  295.10  292.21  292.66  290.50  298.54  0
1333  294.66  296.03  293.90  297.02  296.23  294.48  298.55  300.14  306.17  294.64  295.16  295.18  291.82  294.57  290.04  300.35  0
1334  297.02  297.14  293.39  296.18  296.71  294.29  299.45  299.94  305.33  294.27  293.78  295.48  292.32  294.38  291.52  300.43  0
1335  294.14  294.45  293.98  295.92  295.71  294.43  299.35  303.88  306.01  293.10  294.63  293.89  291.87  292.99  291.87  297.82  0
1336  297.13  296.45  294.33  295.97  296.63  294.24  299.34  301.47  306.48  294.00  294.19  295.12  291.96  293.14  290.10  298.35  0
1337  295.98  295.74  293.99  297.32  297.45  293.84  298.27  294.33  305.69  294.08  294.22  294.44  291.85  293.05  291.38  301.79  0
1338  295.71  295.80  294.12  296.15  296.01  293.41  298.75  294.49  305.96  293.90  294.53  294.45  292.14  293.91  290.83  299.16  0
1339  291.64  295.42  294.56  296.78  295.61  292.46  299.43  290.49  306.59  292.84  295.80  293.74  292.88  293.52  293.52  295.20  0
1342  289.80  282.25  281.35  287.42  287.25  287.93  293.57  299.35  303.46  290.76  291.28  295.01  292.03  293.23  290.57  298.98  0
1343  287.71  293.46  289.46  291.67  292.59  289.87  294.02  297.77  301.49  289.75  290.47  292.95  289.23  291.20  287.25  303.39  0
1344  305.50  292.31  288.57  295.70  297.46  293.94  296.97  299.15  300.00  290.97  291.43  293.99  291.60  290.63  290.70  283.95  0
1346  292.18  287.25  284.05  290.22  288.00  289.38  296.06  295.69  302.94  292.35  292.61  296.44  293.03  295.20  289.14  284.95  0
1347  291.56  288.83  285.67  289.12  289.48  289.72  294.89  292.36  301.50  291.99  291.74  294.46  291.54  293.08  290.31  294.95  0
