nrun  S2L1    S2L2    S2L3    S2L4    S2L5    S2L6    S2L7    S2L8    S2L9    S2L10   S2L11   S2L12   S2L13   S2L14   S2L15  S2L16
1236  0.36  -0.04  0.10  0.28  -0.30  0.30  0.40  0.35  0.31  0.45  0.14  -0.17  -0.59  0.28  0.39  0.22  
1237  0.36  -0.09  0.13  0.38  -0.36  0.31  0.36  0.45  0.36  0.44  0.19  -0.16  -0.65  0.24  0.42  0.24  
1238  0.42  -0.06  0.08  0.39  -0.29  0.28  0.36  0.35  0.36  0.51  0.11  -0.20  -0.58  0.21  0.39  0.17  
1239  0.40  -0.08  0.07  0.37  -0.29  0.20  0.41  0.49  0.31  0.48  0.16  -0.19  -0.68  0.29  0.41  0.16  
1240  0.36  -0.12  0.10  0.32  -0.33  0.22  0.42  0.42  0.30  0.44  0.10  -0.11  -0.69  0.28  0.39  0.19  
1241  0.33  -0.08  0.07  0.33  -0.32  0.21  0.43  0.42  0.32  0.44  0.07  -0.14  -0.70  0.30  0.44  0.20  
1242  0.28  -0.09  0.09  0.31  -0.40  0.23  0.43  0.40  0.22  0.43  0.12  -0.18  -0.73  0.26  0.39  0.14  
1243  0.33  -0.08  0.10  0.32  -0.34  0.25  0.40  0.39  0.32  0.44  0.11  -0.17  -0.69  0.26  0.41  0.17  
1244  0.27  0.10  0.00  0.65  -0.32  0.00  0.32  0.21  0.38  0.40  0.32  -0.08  -0.63  0.48  0.33  0.24  
1245  0.40  -0.06  0.08  0.38  -0.22  0.24  0.36  0.32  0.36  0.40  0.10  -0.16  -0.66  0.22  0.41  0.15  
1246  0.42  -0.12  0.12  0.31  -0.32  0.28  0.38  0.36  0.35  0.41  0.10  -0.16  -0.71  0.27  0.35  0.18  
1247  0.33  -0.08  0.14  0.32  -0.34  0.19  0.46  0.32  0.35  0.43  0.09  -0.23  -0.76  0.28  0.37  0.17  
1248  0.33  -0.10  0.13  0.26  -0.33  0.21  0.34  0.36  0.42  0.45  0.08  -0.20  -0.68  0.28  0.38  0.18  
1249  0.37  -0.05  0.10  0.30  -0.37  0.21  0.35  0.37  0.28  0.40  0.08  -0.25  -0.73  0.24  0.38  0.17  
1250  0.40  -0.07  0.16  0.34  -0.35  0.27  0.41  0.39  0.36  0.45  0.09  -0.18  -0.62  0.27  0.44  0.21  
1251  0.43  -0.05  0.08  0.32  -0.36  0.21  0.39  0.28  0.35  0.47  0.06  -0.22  -0.75  0.23  0.38  0.31  
1257  0.37  -0.04  0.36  0.19  -0.35  0.61  0.48  0.34  0.05  0.78  -0.11  0.04  -1.09  0.14  0.35  -0.13  
1258  0.49  -0.11  -0.01  0.26  -0.34  0.30  0.46  0.29  0.41  0.51  0.02  -0.12  -0.62  0.28  0.40  0.22  
1260  0.32  -0.07  0.09  0.27  -0.21  0.22  0.44  0.33  0.41  0.52  0.03  -0.16  -0.68  0.33  0.44  0.26  
1261  0.32  -0.04  0.14  0.31  -0.28  0.23  0.46  0.38  0.43  0.47  0.03  -0.18  -0.71  0.26  0.42  0.19  
1262  0.31  -0.05  0.05  0.30  -0.32  0.18  0.42  0.44  0.43  0.48  0.04  -0.15  -0.67  0.35  0.40  0.21  
1263  0.37  -0.07  0.09  0.30  -0.29  0.14  0.34  0.41  0.36  0.49  0.09  -0.20  -0.64  0.27  0.37  0.22  
1264  0.32  -0.07  0.10  0.29  -0.39  0.19  0.40  0.33  0.39  0.47  0.06  -0.18  -0.60  0.29  0.41  0.19  
1265  0.35  -0.08  0.12  0.30  -0.28  0.16  0.42  0.31  0.38  0.51  0.05  -0.20  -0.61  0.30  0.40  0.21  
1266  0.36  -0.04  0.07  0.32  -0.27  0.22  0.45  0.36  0.38  0.47  0.05  -0.17  -0.61  0.32  0.42  0.14  
1267  0.39  -0.01  0.09  0.29  -0.28  0.19  0.43  0.32  0.44  0.50  0.05  -0.16  -0.68  0.34  0.34  0.19  
1268  0.39  -0.12  0.08  0.29  -0.23  0.16  0.39  0.39  0.34  0.42  0.06  -0.21  -0.69  0.31  0.45  0.16  
1271  0.32  -0.11  0.12  0.29  -0.25  0.23  0.44  0.30  0.35  0.42  0.08  -0.16  -0.63  0.33  0.39  0.20  
1272  0.35  -0.06  0.08  0.30  -0.29  0.15  0.43  0.34  0.34  0.46  0.06  -0.20  -0.66  0.31  0.38  0.16  
1273  0.42  -0.03  0.11  0.27  -0.36  0.17  0.41  0.37  0.36  0.48  0.09  -0.22  -0.62  0.28  0.39  0.23  
1274  0.44  -0.06  0.12  0.32  -0.33  0.21  0.39  0.33  0.38  0.44  0.09  -0.22  -0.70  0.26  0.42  0.20  
1276  0.36  -0.07  0.08  0.30  -0.28  0.22  0.44  0.32  0.42  0.44  0.05  -0.22  -0.63  0.29  0.35  0.18  
1277  0.44  -0.10  0.04  0.30  -0.23  0.25  0.46  0.39  0.40  0.41  0.07  -0.21  -0.69  0.34  0.32  0.27  
1279  0.36  -0.06  0.20  0.22  -0.44  0.22  0.51  0.37  0.48  0.44  0.08  -0.26  -0.63  0.21  0.35  0.19  
1281  0.40  -0.01  0.12  0.32  -0.22  0.18  0.44  0.25  0.34  0.54  0.02  -0.21  -0.61  0.26  0.32  0.10  
1282  0.37  -0.08  -0.00  0.21  -0.21  0.16  0.57  0.34  0.27  0.50  0.15  -0.22  -0.74  0.33  0.30  0.24  
1283  0.37  -0.11  0.10  0.31  -0.26  0.27  0.35  0.30  0.38  0.50  0.08  -0.14  -0.61  0.26  0.40  0.21  
1284  0.39  -0.06  0.06  0.30  -0.32  0.25  0.45  0.30  0.31  0.39  0.05  -0.19  -0.69  0.32  0.39  0.17  
1285  0.33  -0.00  0.10  0.28  -0.35  0.23  0.41  0.37  0.37  0.47  0.01  -0.10  -0.57  0.30  0.41  0.20  
1286  0.40  -0.07  0.08  0.32  -0.35  0.20  0.37  0.43  0.40  0.53  0.07  -0.16  -0.68  0.31  0.38  0.19  
1287  0.31  -0.09  0.11  0.28  -0.31  0.20  0.43  0.39  0.40  0.50  0.04  -0.09  -0.55  0.28  0.38  0.20  
1288  0.31  -0.06  0.11  0.28  -0.31  0.30  0.39  0.36  0.35  0.45  0.10  -0.10  -0.66  0.28  0.43  0.19  
1289  0.37  -0.07  0.11  0.24  -0.28  0.21  0.41  0.31  0.38  0.50  0.05  -0.15  -0.61  0.26  0.38  0.16  
1290  0.37  -0.02  0.08  0.26  -0.31  0.28  0.45  0.40  0.37  0.45  0.02  -0.23  -0.60  0.28  0.39  0.10  
1291  0.39  -0.10  0.07  0.27  -0.33  0.22  0.41  0.34  0.38  0.54  0.06  -0.20  -0.63  0.32  0.37  0.29  
1292  0.39  -0.07  0.14  0.29  -0.32  0.25  0.46  0.37  0.41  0.53  0.07  -0.17  -0.63  0.30  0.43  0.22  
1293  0.38  -0.10  0.12  0.29  -0.24  0.20  0.42  0.38  0.44  0.42  0.08  -0.14  -0.66  0.34  0.36  0.28  
1294  0.39  -0.02  0.11  0.27  -0.30  0.31  0.41  0.35  0.40  0.42  0.07  -0.19  -0.71  0.29  0.42  0.16  
1295  0.40  -0.09  0.08  0.31  -0.24  0.27  0.41  0.37  0.32  0.44  0.05  -0.09  -0.64  0.30  0.39  0.17  
1296  0.39  -0.06  0.15  0.30  -0.24  0.34  0.39  0.31  0.42  0.48  0.02  -0.13  -0.59  0.29  0.37  0.18  
1297  0.41  -0.03  0.11  0.29  -0.31  0.32  0.47  0.41  0.40  0.47  0.09  -0.16  -0.63  0.27  0.36  0.20  
1298  0.43  -0.00  0.09  0.26  -0.25  0.18  0.45  0.42  0.46  0.46  0.05  -0.20  -0.66  0.35  0.39  0.25  
1299  0.36  -0.06  0.08  0.29  -0.29  0.26  0.39  0.40  0.45  0.43  0.07  -0.13  -0.55  0.26  0.42  0.25  
1300  0.40  -0.07  0.09  0.31  -0.29  0.32  0.37  0.34  0.36  0.49  0.02  -0.20  -0.63  0.31  0.40  0.19  
1301  0.41  -0.09  0.05  0.30  -0.23  0.27  0.38  0.42  0.42  0.50  0.03  -0.16  -0.71  0.24  0.37  0.23  
1309  0.26  -0.30  -0.16  0.17  -0.71  0.20  0.77  0.55  0.42  0.73  -0.02  -0.21  -0.27  0.54  0.67  0.27  
1312  0.32  -0.07  0.32  0.58  -0.46  0.24  0.69  0.72  0.29  0.43  0.03  0.06  -0.72  0.54  0.41  0.04  
1313  0.40  -0.13  0.05  0.32  -0.24  0.26  0.54  0.42  0.03  0.41  0.21  -0.19  -0.66  0.31  0.41  0.08  
1318  0.46  -0.49  -0.22  0.38  -0.77  0.04  0.35  0.75  -0.53  0.25  0.64  -0.29  -0.31  0.43  0.81  0.21  
1322  0.35  -0.11  0.07  0.37  -0.33  0.43  0.40  0.42  0.22  0.33  0.26  -0.15  -0.75  0.28  0.29  0.25  
1323  0.41  -0.13  0.05  0.34  -0.27  0.26  0.33  0.42  0.11  0.43  0.17  -0.13  -0.66  0.24  0.38  -0.01  
1325  0.27  0.09  -0.29  0.17  -0.24  0.23  0.48  0.61  0.09  0.06  -0.02  -0.01  -0.81  0.30  0.45  0.24  
1326  0.39  -0.08  0.10  0.45  -0.25  0.37  0.46  0.57  0.20  0.43  0.20  -0.07  -0.75  0.33  0.29  0.12  
1327  0.36  -0.12  0.06  0.26  -0.35  0.35  0.39  0.45  0.12  0.38  0.16  -0.04  -0.69  0.27  0.40  0.06  
1328  0.36  -0.08  0.03  0.33  -0.25  0.31  0.41  0.50  0.09  0.33  0.14  -0.02  -0.67  0.24  0.37  0.05  
1329  0.38  -0.15  0.05  0.34  -0.23  0.48  0.46  0.46  0.07  0.39  0.19  -0.06  -0.58  0.25  0.35  0.16  
1331  0.38  -0.07  0.02  0.30  -0.25  0.31  0.38  0.40  0.17  0.34  0.13  -0.02  -0.60  0.22  0.37  0.09  
1333  0.30  -0.10  0.02  0.26  -0.30  0.30  0.45  0.44  0.14  0.39  0.10  -0.08  -0.72  0.26  0.30  0.09  
1334  0.30  -0.11  0.07  0.29  -0.25  0.28  0.47  0.39  0.15  0.37  0.12  -0.05  -0.59  0.25  0.36  0.09  
1335  0.34  -0.19  0.06  0.42  -0.40  0.34  0.34  0.48  0.05  0.35  0.26  -0.11  -0.68  0.27  0.38  0.12  
1336  0.37  -0.07  0.06  0.30  -0.23  0.27  0.49  0.36  0.14  0.32  0.18  -0.04  -0.65  0.24  0.38  0.06  
1337  0.32  -0.14  0.07  0.42  -0.33  0.38  0.44  0.51  0.10  0.34  0.17  -0.01  -0.66  0.34  0.39  0.10  
1338  0.31  -0.07  0.13  0.28  -0.23  0.27  0.46  0.37  0.08  0.40  0.16  -0.12  -0.73  0.28  0.43  0.11  
1339  0.52  -0.09  0.05  0.54  -0.49  0.34  0.61  0.24  0.09  0.30  0.16  -0.06  -0.57  0.27  0.26  0.12  
1342  0.34  -0.09  0.11  0.34  -0.34  0.38  0.48  0.53  0.12  0.37  0.13  -0.12  -0.71  0.30  0.37  -0.04  
1343  0.41  -0.15  0.04  0.40  -0.59  0.39  0.34  0.61  0.04  0.25  0.25  -0.10  -0.79  0.21  0.34  0.01  
1344  0.25  -0.02  -0.01  0.34  -0.22  0.31  0.42  0.33  0.14  0.23  0.13  -0.34  -0.45  0.06  0.29  0.10  
1346  0.42  -0.04  -0.00  0.29  -0.55  0.28  0.40  0.53  0.02  0.40  0.15  -0.01  -0.88  0.29  0.37  0.09  
1347  0.37  -0.09  0.06  0.31  -0.41  0.29  0.47  0.49  0.17  0.34  0.21  -0.06  -0.75  0.28  0.41  0.13  
1348  0.35  -0.15  0.09  0.29  -0.32  0.33  0.50  0.55  0.10  0.33  0.14  -0.16  -0.69  0.30  0.39  0.07  
1350  0.38  -0.11  -0.02  0.30  -0.31  0.34  0.32  0.38  0.07  0.40  0.15  -0.03  -0.58  0.23  0.42  0.13  
1351  0.35  -0.18  0.06  0.38  -0.32  0.23  0.42  0.48  0.05  0.36  0.21  -0.04  -0.72  0.33  0.44  0.12  
1352  0.24  -0.16  -0.01  0.37  -0.30  0.28  0.48  0.54  -0.04  0.44  0.23  -0.11  -0.67  0.29  0.41  0.23  
1353  0.37  -0.05  0.10  0.31  -0.35  0.39  0.34  0.49  0.12  0.42  0.13  -0.06  -0.69  0.29  0.42  0.17  
1354  0.48  -0.12  -0.04  0.37  -0.32  0.30  0.34  0.53  0.10  0.37  0.16  -0.10  -0.63  0.32  0.35  0.05  
1355  0.33  -0.17  0.05  0.33  -0.28  0.35  0.44  0.46  0.08  0.36  0.22  -0.01  -0.71  0.22  0.43  0.11  
1356  0.38  -0.11  0.05  0.35  -0.28  0.28  0.44  0.47  0.12  0.40  0.24  -0.09  -0.61  0.28  0.42  0.12  
1357  0.34  -0.14  0.09  0.30  -0.35  0.33  0.42  0.44  0.09  0.43  0.26  0.02  -0.61  0.29  0.38  0.19  
1358  0.33  -0.03  0.01  0.30  -0.34  0.22  0.42  0.52  0.10  0.34  0.18  -0.14  -0.60  0.29  0.37  0.10  
1359  0.38  -0.08  0.05  0.34  -0.31  0.28  0.42  0.50  0.05  0.33  0.15  -0.07  -0.74  0.17  0.44  0.13  
1360  0.35  -0.14  0.12  0.25  -0.46  0.17  0.36  0.51  0.01  0.44  0.23  0.00  -0.73  0.26  0.44  0.09  
1362  0.38  -0.16  0.11  0.33  -0.41  0.30  0.35  0.62  0.06  0.31  0.20  -0.15  -0.57  0.17  0.49  0.09  
1363  0.32  -0.26  0.01  0.32  -0.27  0.25  0.46  0.54  0.27  0.41  0.19  -0.11  -0.72  0.34  0.41  0.16  
1364  0.22  -0.02  0.03  0.15  -0.61  0.65  0.27  0.39  0.07  0.25  -0.16  0.10  -0.88  0.35  0.50  0.16  
1366  0.22  -0.13  0.08  0.38  -0.13  0.14  0.62  0.40  0.06  0.45  0.23  0.03  -0.59  0.21  0.28  0.09  
1367  0.33  -0.15  -0.05  0.20  -0.33  0.29  0.45  0.46  0.02  0.37  -0.01  0.03  -0.73  0.26  0.41  0.22  
1368  0.29  -0.10  -0.03  0.29  -0.52  0.44  0.39  0.42  0.06  0.37  0.16  0.03  -0.65  0.26  0.50  0.00  
1369  0.39  -0.05  0.02  0.33  -0.21  0.34  0.41  0.63  0.05  0.26  0.24  -0.04  -0.62  0.22  0.27  -0.01  
1370  0.31  -0.13  -0.04  0.40  -0.33  0.45  0.46  0.61  0.16  0.33  0.11  -0.03  -0.71  0.26  0.42  0.09  
1371  0.36  -0.12  0.07  0.33  -0.43  0.44  0.56  0.59  0.06  0.36  0.04  -0.08  -0.56  0.15  0.45  0.05  
1372  0.39  -0.08  0.04  0.38  -0.41  0.24  0.56  0.52  0.13  0.30  0.09  -0.05  -0.73  0.33  0.40  0.18  
1373  0.36  -0.30  0.08  0.31  -0.19  0.38  0.45  0.65  0.02  0.55  0.09  -0.16  -0.67  0.13  0.44  0.11  
1374  0.42  -0.23  -0.16  0.30  -0.46  0.27  0.34  0.64  0.07  0.40  0.13  0.05  -0.63  0.23  0.42  0.13  
1375  0.41  -0.19  0.09  0.31  -0.28  0.35  0.48  0.46  0.04  0.51  0.05  -0.11  -0.69  0.32  0.48  0.05  
1376  0.30  -0.14  -0.01  0.34  -0.38  0.42  0.39  0.44  0.10  0.42  0.14  0.00  -0.68  0.28  0.54  0.10  
1377  0.41  -0.06  0.05  0.37  -0.28  0.49  0.32  0.52  0.11  0.32  0.14  -0.07  -0.61  0.30  0.45  0.20  
1378  0.25  -0.11  0.06  0.40  -0.34  0.32  0.42  0.47  0.12  0.39  0.19  -0.09  -0.71  0.36  0.39  0.14  
1379  0.49  -0.09  0.06  0.50  -0.30  0.49  0.55  0.64  0.13  0.31  0.14  -0.11  -0.67  0.31  0.39  0.13  
1380  0.13  -0.02  0.07  0.58  -0.19  0.42  0.13  0.67  0.27  0.46  -0.09  -0.12  -0.71  0.13  0.40  0.14  
1381  0.34  -0.06  0.07  0.33  -0.45  0.26  0.35  0.48  0.02  0.40  0.19  -0.09  -0.77  0.27  0.27  0.03  
1382  0.40  -0.11  -0.01  0.28  -0.59  0.31  0.45  0.47  0.08  0.46  0.23  -0.18  -0.80  0.29  0.50  0.18  
1383  0.38  0.02  -0.06  0.35  -0.16  0.31  0.56  0.60  0.03  0.40  0.20  -0.20  -0.65  0.15  0.38  0.07  
1384  0.08  -0.36  -0.02  0.41  -0.36  0.49  0.54  0.59  0.41  0.40  0.18  -0.32  -0.84  0.30  0.16  0.16  
1386  0.38  -0.09  -0.06  0.24  -0.60  0.39  0.39  0.43  0.08  0.45  0.21  -0.12  -0.67  0.31  0.38  -0.02  
1387  0.43  -0.19  0.15  0.37  -0.29  0.43  0.49  0.52  0.12  0.42  0.18  -0.13  -0.53  0.35  0.23  0.26  
1388  0.55  0.11  -0.14  0.37  -0.13  0.45  0.85  0.24  -0.02  0.36  -0.01  0.09  -0.77  0.16  0.36  0.01  
1389  0.40  -0.22  0.09  0.31  -0.24  0.23  0.61  0.51  0.13  0.29  0.11  -0.04  -0.65  0.15  0.31  0.12  
1390  0.28  -0.10  0.04  0.25  -0.34  0.42  0.43  0.34  0.13  0.40  0.14  -0.13  -0.69  0.12  0.32  0.19  
1392  0.31  -0.15  0.11  0.25  -0.16  0.19  0.45  0.64  0.07  0.44  0.15  -0.14  -0.87  0.12  0.44  0.12  
1394  0.34  -0.13  -0.06  0.28  -0.31  0.30  0.46  0.33  0.11  0.46  0.23  0.01  -0.71  0.17  0.29  0.26  
1397  0.30  -0.16  0.06  0.24  -0.44  0.30  0.48  0.56  -0.07  0.26  0.18  0.05  -0.69  0.28  0.37  0.06  
1398  0.34  -0.10  0.17  0.49  -0.06  0.26  0.52  0.55  0.08  0.36  0.12  -0.03  -0.31  0.19  0.34  0.26  
1399  0.17  -0.15  0.12  0.48  -0.26  0.55  0.56  0.34  0.04  0.47  0.15  -0.10  -0.76  0.10  0.36  0.18  
1402  0.33  -0.11  0.07  0.46  -0.42  0.20  0.57  0.52  0.02  0.26  0.21  -0.07  -0.55  0.21  0.28  0.22  
1403  0.38  -0.23  -0.00  0.24  -0.15  0.33  0.39  0.46  0.02  0.40  0.23  -0.05  -0.42  0.32  0.37  0.04  
1404  0.23  -0.05  0.12  0.30  -0.32  0.25  0.46  0.37  0.03  0.33  0.12  -0.10  -0.42  0.25  0.32  0.10  
1405  0.25  -0.19  -0.01  0.24  -0.28  0.25  0.45  0.46  0.01  0.49  0.20  0.02  -0.49  0.24  0.31  0.03  
1406  0.22  -0.09  0.01  0.24  -0.05  0.19  0.24  0.39  0.03  0.45  0.16  -0.19  -0.57  0.29  0.46  0.03  
1407  0.18  -0.02  0.04  0.28  -0.47  0.29  0.38  0.67  -0.12  0.48  0.18  -0.00  -0.58  0.25  0.32  0.25  
1408  0.38  -0.09  0.16  0.25  -0.42  0.43  0.44  0.51  0.23  0.59  0.29  0.01  -0.38  0.27  0.34  0.18  
1409  0.34  -0.12  -0.04  0.41  -0.38  0.17  0.52  0.56  0.18  0.35  0.27  0.01  -0.65  0.45  0.40  0.01  
1410  0.36  -0.10  -0.01  0.43  -0.49  0.29  0.44  0.60  -0.04  0.37  0.16  -0.04  -0.58  0.15  0.40  0.09  
1411  0.28  -0.10  0.15  0.19  -0.35  0.37  0.44  0.64  0.08  0.50  0.19  -0.05  -0.67  0.08  0.39  0.11  
1412  0.18  -0.18  -0.11  0.50  -0.37  0.21  0.54  0.51  0.10  0.49  0.11  -0.08  -0.52  0.25  0.32  0.20  
1413  0.29  -0.17  -0.02  0.45  -0.44  0.33  0.52  0.61  -0.06  0.45  0.36  0.03  -0.61  0.27  0.38  0.19  
1414  0.38  -0.08  -0.03  0.30  -0.11  0.15  0.50  0.63  0.02  0.50  0.19  -0.01  -0.43  0.30  0.33  0.09  
1415  0.39  -0.02  0.41  0.26  -0.48  0.46  0.50  0.69  -0.00  0.23  0.44  -0.22  -0.65  0.15  0.25  0.27  
1416  0.29  -0.12  0.07  0.37  -0.14  0.41  0.55  0.51  0.06  0.47  0.20  -0.02  -0.59  0.35  0.37  0.22  
1420  0.19  -0.14  -0.35  0.34  -0.18  0.20  0.29  0.42  0.05  0.42  -0.16  0.01  -0.81  0.39  0.42  -0.20  
1422  0.22  -0.03  -0.03  0.38  -0.30  0.36  0.37  0.41  0.12  0.57  0.16  -0.05  -0.73  0.23  0.55  0.10  
1423  0.17  -0.36  0.06  0.40  -0.24  0.70  0.54  0.84  0.25  0.71  -0.14  -0.07  -0.62  0.43  0.30  0.09  
1425  0.31  -0.07  -0.07  0.42  -0.48  0.33  0.56  0.50  0.19  0.40  -0.01  -0.04  -0.45  0.26  0.33  0.05  
1426  0.24  -0.06  -0.12  0.23  -0.48  0.28  0.47  0.33  -0.12  0.36  0.14  -0.03  -0.63  0.23  0.45  0.02  
1427  0.30  -0.28  -0.00  0.30  -0.43  0.40  0.49  0.53  0.13  0.60  0.20  0.06  -0.50  0.33  0.31  0.15  
1428  0.36  0.07  -0.03  0.24  -0.30  0.38  0.59  0.35  0.16  0.25  0.33  0.07  -0.43  0.39  0.33  0.24  
1429  0.13  -0.06  -0.00  0.43  -0.22  0.30  0.13  0.38  0.25  0.38  0.39  -0.25  -0.23  0.18  0.40  -0.03  
1430  0.47  0.10  -0.02  0.17  -0.27  0.22  0.58  0.52  0.07  0.53  0.25  -0.14  -0.73  0.27  0.30  0.03  
1431  0.28  -0.19  -0.12  0.37  -0.44  0.40  0.59  0.39  0.26  0.42  0.13  -0.10  -0.51  0.21  0.46  0.07  
1432  0.48  -0.17  -0.01  0.34  -0.22  0.19  0.18  0.35  0.14  0.22  0.17  -0.10  -0.79  0.24  0.58  0.17  
1433  0.31  -0.02  0.08  0.35  -0.70  0.24  0.45  0.47  -0.10  0.47  0.12  -0.06  -0.63  0.50  0.41  0.38  
1434  0.30  -0.16  -0.06  0.35  -0.39  0.30  0.52  0.44  0.04  0.41  0.12  0.02  -0.70  0.27  0.49  0.09  
1435  0.25  -0.26  -0.05  0.35  -0.55  0.58  0.48  0.59  0.02  0.40  0.23  -0.03  -0.57  0.27  0.58  0.14  
1436  0.28  -0.13  -0.07  0.14  -0.27  0.32  0.47  0.30  0.09  0.45  0.11  -0.09  -0.55  0.15  0.34  0.21  
1437  0.19  -0.07  -0.02  0.32  -0.35  0.30  0.42  0.65  0.14  0.48  0.24  -0.01  -0.66  0.12  0.42  0.06  
1438  0.24  -0.17  -0.00  0.44  -0.47  0.33  0.62  0.54  -0.05  0.33  0.30  -0.04  -0.66  0.09  0.48  0.10  
1439  0.27  -0.09  -0.05  0.34  -0.36  0.21  0.55  0.44  0.09  0.32  0.14  -0.08  -0.75  0.41  0.35  0.09  
1440  0.31  -0.01  -0.11  0.23  -0.21  0.18  0.62  0.44  0.19  0.26  0.26  -0.02  -0.82  0.21  0.28  0.01  
1441  0.31  -0.09  0.06  0.41  -0.23  0.13  0.51  0.45  0.10  0.67  0.15  0.05  -0.70  0.22  0.38  -0.01  
1450  0.28  -0.10  -0.04  0.22  -0.29  0.34  0.63  0.37  -0.01  0.53  0.32  -0.08  -0.58  0.30  0.22  0.13  
1451  0.38  -0.16  -0.00  0.30  -0.35  0.33  0.60  0.41  -0.02  0.34  0.24  -0.10  -0.77  0.36  0.24  0.14  
1452  0.25  -0.11  -0.23  0.09  -0.23  0.29  0.51  0.14  -0.14  0.47  0.17  -0.06  -0.38  0.35  0.29  0.14  
1453  0.46  -0.19  0.06  0.31  -0.52  0.24  0.75  0.50  -0.11  0.54  0.26  0.04  -0.70  0.20  0.29  0.29  
1454  0.09  -0.18  -0.11  0.41  -0.36  0.32  0.46  0.63  0.17  0.21  0.16  -0.12  -0.41  0.30  0.48  -0.02  
1455  0.27  -0.02  -0.03  0.45  -0.49  0.22  0.47  0.54  0.03  0.54  0.24  -0.06  -0.54  0.39  0.36  0.24  
1456  0.19  -0.18  -0.09  0.41  -0.25  0.25  0.51  0.50  0.18  0.52  0.04  -0.06  -0.50  0.40  0.42  0.24  
1457  0.17  -0.15  0.04  0.24  -0.47  0.37  0.44  0.37  -0.10  0.26  0.17  -0.14  -0.49  0.22  0.34  0.16  
1458  0.41  -0.01  -0.03  0.32  -0.54  0.21  0.47  0.38  -0.02  0.38  0.24  0.05  -0.56  0.29  0.44  0.10  
1459  0.14  -0.13  -0.07  0.20  -0.44  0.26  0.31  0.25  0.15  0.40  0.21  -0.02  -0.61  0.27  0.24  0.16  
1460  0.21  -0.04  0.04  0.25  -0.38  0.42  0.54  0.58  -0.14  0.48  0.23  0.10  -0.89  0.18  0.26  0.16  
