nrun   cer1   cer2   cer3   cer4   cer5   cer6  cer7   cer8   cer9   cer10
90949  -0.30  0.14  0.13  -0.09  0.25  0.37  -0.29  -0.25  -0.31  -0.37  
90950  -0.03  -0.03  0.19  -0.03  0.28  0.35  -0.31  -0.05  -0.37  -0.63  
90951  -0.33  0.05  0.36  0.06  -0.07  0.26  -0.64  -0.07  -0.37  -0.64  
90952  -0.30  0.18  0.53  -0.12  0.20  0.42  -0.33  -0.19  -0.38  -0.40  
90953  -0.27  0.19  0.42  -0.60  0.51  0.41  -0.32  -0.16  -0.60  -0.72  
90955  -0.26  0.10  0.27  0.18  0.00  0.31  -0.32  -0.19  -0.34  -0.13  
90956  0.03  0.22  0.08  -0.28  -0.02  0.47  -0.47  -0.14  -0.20  -0.53  
90957  -0.07  0.18  0.24  -0.13  0.14  0.43  -0.38  -0.29  -0.29  -0.63  
90958  0.03  0.37  0.18  -0.14  0.15  0.39  -0.53  -0.05  -0.40  -0.62  
90959  -0.02  0.01  0.14  -0.28  0.04  0.45  -0.60  -0.22  -0.19  -0.85  
90960  -0.39  0.42  0.08  0.00  -0.05  0.31  -0.26  -0.36  -0.55  -0.25  
90961  -0.08  0.43  0.42  -0.24  0.19  0.28  -0.24  0.21  -0.18  -0.26  
90962  0.05  0.05  0.41  0.13  -0.12  0.58  -0.80  -0.26  -0.37  -0.53  
90967  -0.10  0.31  0.02  0.05  0.17  0.33  -0.63  -0.00  -0.33  -0.23  
90968  -0.04  0.31  0.41  0.13  0.44  0.39  -0.29  -0.28  -0.30  -0.50  
90969  -0.04  0.21  0.13  0.14  0.53  0.43  -0.41  0.13  -0.11  -0.50  
90970  0.10  0.03  -0.06  -0.34  0.27  0.40  -0.51  -0.26  -0.34  -0.85  
90971  -0.21  0.31  0.24  -0.37  0.42  0.23  -0.68  -0.44  -0.43  -0.73  
90972  -0.23  0.22  0.34  -0.03  -0.06  0.21  -0.31  -0.19  -0.21  -0.46  
90973  -0.31  0.15  0.23  0.16  -0.13  0.22  -0.23  -0.03  -0.04  -0.03  
90974  0.10  0.44  0.00  -0.04  0.24  0.81  -0.28  -0.09  0.31  -0.32  
