nrun   s0l     s0r     flag
91132  913.32  853.07  0
91134  909.30  912.03  0
91135  920.98  910.70  0
91137  924.88  852.67  0
91140  908.67  859.36  0
91142  880.53  858.05  0
91143  884.77  873.41  0
91144  858.50  841.66  0
91146  885.74  871.50  0
91147  875.33  862.56  0
91151  911.91  892.72  0
91152  877.63  859.86  0
91163  863.26  902.50  0
91164  863.90  844.72  0
91165  867.32  865.26  0
91166  881.24  659.57  1
91167  869.59  917.05  0
91168  887.05  913.93  0
91169  871.61  882.34  0
91170  876.16  865.03  0
91171  866.08  841.47  0
91172  872.25  875.67  0
91173  877.64  874.73  0
91174  874.57  876.58  0
91177  904.80  854.18  0
91178  886.60  874.50  0
91179  877.70  849.05  0
91182  881.56  864.21  0
91183  888.45  856.74  0
91184  881.61  874.22  0
91185  877.79  858.99  0
91193  876.60  841.30  0
91194  873.43  860.82  0
91195  871.03  866.43  0
91196  874.88  881.93  0
91197  894.41  867.12  0
91198  893.40  878.79  0
91199  876.09  833.10  0
91200  877.22  888.16  0
91208  904.25  901.57  0
91209  908.56  875.50  0
91210  914.86  917.73  0
91211  904.93  894.64  0
91212  920.65  907.38  0
91213  905.46  893.37  0
91218  895.89  845.42  0
91219  934.88  890.43  0
91220  867.68  842.06  0
91221  881.94  850.91  0
91222  905.59  880.79  0
91223  880.87  885.91  0
91224  870.99  847.58  0
91225  883.79  847.35  0
91226  851.74  849.22  0
91227  875.27  846.98  0
91228  886.89  849.06  0
91229  861.88  857.78  0
91230  879.40  836.64  0
91231  900.17  901.78  0
91232  860.11  860.04  0
91233  858.42  872.76  0
91234  906.39  833.70  0
91235  878.25  850.36  0
91236  886.60  842.33  0
91237  892.14  835.30  0
91238  891.34  852.82  0
91239  869.95  858.27  0
91240  855.59  827.76  0
91241  865.13  847.15  0
91242  896.44  698.01  1
91244  893.44  827.45  0
91245  879.01  861.46  0
91246  879.29  867.28  0
91247  933.92  848.47  0
91248  876.03  852.41  0
91249  877.47  855.47  0
91250  892.28  855.57  0
91251  872.29  847.41  0
91252  887.80  835.54  0
91253  892.78  857.69  0
91254  890.00  829.46  0
91255  874.62  883.78  0
91256  861.96  867.62  0
91258  883.51  842.90  0
91260  890.68  837.97  0
91261  876.65  867.85  0
91263  871.76  877.41  0
91264  889.09  854.89  0
91265  884.43  859.51  0
91266  896.93  888.28  0
91267  903.34  883.18  0
91268  885.71  842.84  0
91269  890.75  873.52  0
