nrun  s0l   s0r
1431  1.67  1.40  
1432  1.88  1.36  
1433  1.88  1.72  
1434  1.63  1.46  
1435  1.36  1.26  
1436  1.16  0.97  
1437  1.34  1.21  
1438  1.22  1.22  
1439  1.01  1.26  
1440  1.59  0.75  
1441  1.30  1.49  
1446  0.17  0.14  
1450  0.98  1.48  
1451  1.31  1.43  
1452  1.76  1.62  
1453  1.85  1.22  
1454  1.46  1.05  
1455  1.42  1.48  
1456  1.33  1.03  
1457  1.61  0.95  
1458  1.35  1.02  
1459  1.61  1.32  
1460  1.27  1.48  
1461  1.44  1.57  
1462  1.09  1.67  
1463  1.61  1.48  
1464  1.60  1.37  
1465  1.10  1.38  
1466  1.60  1.61  
1468  1.72  1.29  
1469  1.52  1.43  
1470  1.58  1.36  
1472  1.23  1.43  
1475  1.78  1.38  
1476  1.18  1.20  
1477  1.24  1.62  
1478  1.62  1.60  
1479  1.43  1.84  
1482  1.54  1.44  
1483  1.74  1.37  
1484  1.41  1.20  
1485  1.21  1.12  
1486  1.59  1.39  
1487  1.70  1.36  
1488  1.70  0.82  
1489  1.34  1.47  
1490  1.79  0.98  
1491  1.49  1.57  
1492  1.53  1.51  
1493  1.49  1.47  
1494  1.64  1.61  
1495  1.46  1.41  
1496  0.92  1.28  
1501  1.39  1.56  
1502  1.63  1.07  
1503  1.17  1.30  
1504  1.35  1.01  
1505  1.07  1.08  
1506  1.39  1.27  
1510  1.40  1.54  
1513  1.72  1.83  
1515  1.42  1.84  
1516  1.56  1.80  
1518  1.48  1.49  
1520  1.36  1.23  
1521  1.21  1.03  
1525  1.12  1.74  
1526  1.77  1.42  
1528  1.50  1.47  
1529  1.81  1.11  
1530  1.58  1.50  
1531  1.34  1.22  
1532  0.91  1.23  
1533  1.38  1.29  
1540  1.71  1.88  
1541  1.57  1.36  
1542  1.46  1.02  
1543  1.88  1.12  
1545  1.56  1.19  
1546  1.41  1.40  
1547  1.76  1.35  
1548  1.52  1.29  
1549  1.08  1.12  
1550  0.95  1.10  
1551  1.64  1.85  
1553  1.24  1.29  
1557  1.13  1.23  
1558  1.22  1.38  
1559  1.27  1.10  
1560  1.34  1.43  
1561  1.35  1.13  
1562  1.42  1.17  
1563  1.53  1.48  
1564  1.40  1.23  
1565  1.52  1.13  
1566  1.59  1.42  
1567  1.42  1.02  
1568  0.97  1.24  
1569  1.16  1.52  
1571  1.63  1.63  
1572  1.22  1.26  
1576  1.09  1.14  
1577  1.32  1.09  
1578  1.33  1.35  
1579  1.37  1.42  
1580  1.24  1.17  
1581  1.26  1.36  
1582  1.33  1.55  
1583  0.79  1.69  
1584  1.32  1.49  
1585  1.47  1.16  
1586  1.48  1.72  
1587  1.38  1.05  
1588  1.21  0.74  
1589  1.61  1.17  
1590  1.38  1.89  
1591  1.59  0.79  
1592  1.18  1.26  
1593  1.30  1.52  
1594  1.48  1.30  
1595  1.50  0.90  
1596  1.64  1.39  
1597  1.43  1.36  
1598  1.33  1.11  
1599  0.99  1.42  
1600  1.17  1.77  
1601  1.84  1.86  
1604  1.54  1.20  
1605  1.53  1.26  
1606  1.44  1.73  
1607  1.37  1.31  
1608  1.32  1.23  
1609  1.63  1.28  
1610  1.37  1.64  
1611  1.18  1.16  
1612  1.61  1.23  
1613  1.23  1.64  
1614  1.59  1.54  
1615  1.79  1.88  
1616  1.67  1.02  
1617  1.42  1.35  
1618  1.60  1.18  
1619  1.43  1.49  
1624  1.50  1.65  
1625  1.52  1.22  
1627  1.43  0.65  
1628  1.16  1.46  
1629  1.45  1.03  
1630  1.39  1.79  
1631  1.16  1.38  
1632  1.33  1.38  
1633  1.18  1.43  
1634  1.34  1.70  
1635  1.46  1.20  
1636  1.17  1.20  
1637  1.37  1.37  
1639  1.50  1.49  
1640  1.25  1.32  
1641  1.34  1.55  
1642  1.48  1.39  
1643  1.55  1.06  
1644  0.95  1.34  
1645  1.71  1.79  
1646  1.65  1.23  
1648  1.26  1.67  
1650  1.40  1.53  
1651  1.32  1.14  
1652  1.39  1.19  
1653  1.66  1.38  
1654  1.03  1.28  
1655  1.14  1.25  
1656  1.24  1.30  
1657  1.10  1.70  
1658  1.63  1.16  
1659  1.25  0.89  
1660  1.31  1.45  
1661  1.34  0.85  
1664  1.41  1.26  
1665  1.29  1.58  
1666  1.53  1.26  
1667  1.29  1.29  
1668  1.31  1.43  
1672  1.35  1.51  
1673  1.48  1.33  
1674  1.31  1.28  
1675  1.31  1.10  
1676  1.12  0.95  
1677  1.24  1.12  
1680  1.27  1.17  
1681  1.60  1.51  
1682  1.46  1.28  
1683  1.18  1.44  
1684  1.49  1.52  
1685  1.22  1.31  
1686  1.24  1.24  
1687  1.32  1.72  
1688  1.49  1.42  
1689  1.35  1.37  
1690  1.60  0.94  
1691  1.34  1.62  
1692  1.33  1.29  
1693  1.22  1.22  
1694  1.35  1.26  
1695  1.36  1.20  
1696  1.15  1.37  
1698  1.44  1.20  
1699  1.36  1.35  
1700  1.48  1.42  
1701  1.61  1.62  
1702  1.48  1.46  
1704  1.45  1.45  
1705  1.33  1.67  
1706  1.40  1.68  
1707  1.51  1.36  
1708  1.22  1.22  
1709  1.54  1.27  
1710  1.66  1.16  
1711  1.54  1.79  
1712  1.44  1.04  
1713  1.30  1.07  
1714  1.39  1.49  
1715  1.56  1.45  
1716  1.45  1.65  
1717  1.16  1.44  
1718  1.47  1.47  
1721  1.44  1.35  
1722  1.37  1.40  
1725  1.28  2.74  
1730  1.43  1.63  
1731  1.48  1.72  
1732  1.54  1.42  
1733  1.58  1.06  
1734  1.28  0.99  
1735  1.07  1.32  
1736  1.54  1.27  
1737  1.24  1.84  
1738  1.60  1.12  
1739  1.38  1.56  
1740  1.03  1.40  
1741  1.35  1.23  
1742  1.58  1.23  
1743  1.26  1.14  
1744  1.57  1.10  
1745  1.59  1.45  
1746  1.43  1.19  
1747  1.16  1.44  
1748  1.66  1.45  
1749  1.76  1.36  
1750  1.01  1.67  
1751  1.39  1.35  
1752  1.60  1.11  
1753  1.53  1.69  
1754  1.50  1.35  
1755  1.32  1.46  
1756  1.43  1.15  
1757  1.17  1.18  
1758  1.38  1.26  
1759  1.16  1.21  
1760  1.32  1.38  
1761  1.62  1.20  
1762  1.27  0.73  
1763  1.66  1.38  
1765  1.52  2.01  
1768  1.84  1.68  
1769  1.21  1.35  
1770  1.53  0.84  
1771  1.09  1.68  
1772  1.64  1.55  
1773  1.42  1.52  
1774  1.47  1.63  
1775  1.21  1.30  
1777  1.39  2.14  
1779  1.34  1.40  
1781  1.48  1.29  
1783  1.53  1.48  
1784  1.22  1.54  
1788  1.57  0.95  
1789  1.32  1.11  
1791  1.58  1.46  
1792  1.28  1.23  
1793  1.58  1.37  
1794  1.84  1.49  
1795  0.83  1.52  
1798  1.56  1.69  
1800  1.45  1.67  
1801  1.53  1.72  
1802  1.60  1.72  
1804  1.65  1.34  
1805  1.67  1.75  
1806  1.26  1.35  
1807  1.29  1.56  
1809  1.79  1.71  
1810  1.61  1.57  
1811  1.61  0.72  
1812  1.72  1.45  
1835  1.60  0.81  
1838  1.32  1.68  
1840  1.06  1.33  
1841  1.08  1.42  
1842  1.03  1.04  
1844  1.42  1.56  
1845  1.00  1.47  
1848  1.44  1.66  
1850  1.60  1.27  
1851  1.15  1.62  
1855  1.01  1.34  
1857  1.32  1.16  
1858  1.24  1.24  
1859  1.23  1.26  
1860  1.61  1.32  
1861  1.12  1.52  
1862  1.01  1.39  
1863  1.12  1.41  
1864  0.75  1.10  
1865  0.70  1.36  
1866  1.19  1.18  
1867  1.12  1.08  
1868  1.29  1.14  
1869  1.22  1.13  
1870  1.69  1.21  
1871  1.56  1.52  
1874  1.50  1.55  
1875  1.46  1.09  
1876  1.23  0.90  
1877  1.28  1.75  
1879  1.31  1.12  
1880  1.33  1.16  
1881  1.42  1.06  
1882  1.22  0.86  
1883  1.97  1.40  
1892  1.16  1.27  
1893  1.17  1.46  
1894  1.26  1.49  
1895  1.16  1.20  
1896  1.12  1.42  
1897  1.10  1.51  
1898  1.15  1.18  
1899  1.34  1.43  
1901  1.72  1.69  
1902  1.53  1.67  
1904  1.64  1.59  
1905  1.88  1.67  
1906  1.75  1.56  
1909  1.31  1.16  
1913  1.18  0.79  
1914  1.61  1.44  
1916  1.38  1.06  
1917  1.23  1.43  
1918  1.37  1.60  
1919  1.07  1.62  
1920  1.28  1.18  
1921  1.27  1.06  
1922  1.39  1.04  
1924  1.12  1.20  
1925  1.67  0.80  
1926  1.51  1.03  
1927  1.20  0.70  
1928  1.37  1.06  
1929  0.98  1.49  
1930  1.73  1.15  
1931  1.31  1.17  
1932  1.18  1.10  
1933  1.19  1.19  
1934  1.20  0.95  
1935  1.08  1.25  
1936  1.29  0.53  
1937  1.09  0.72  
1938  1.13  1.43  
1939  1.57  1.16  
1940  1.27  1.60  
1941  1.44  1.29  
1942  1.42  1.42  
1943  1.44  1.13  
1944  1.43  0.68  
1945  1.25  1.32  
1946  1.10  0.91  
1947  1.05  1.20  
1948  1.31  1.43  
1949  1.23  1.12  
1950  1.30  1.41  
1951  1.47  1.33  
1952  1.22  0.90  
1953  1.20  1.09  
1955  1.27  1.18  
1957  1.60  1.44  
1958  1.41  1.16  
1960  1.23  1.33  
1961  1.57  0.99  
1962  1.28  1.19  
1963  1.38  1.19  
1964  1.26  0.71  
1965  1.24  0.71  
1966  1.26  0.94  
1967  1.74  0.92  
1968  1.07  0.90  
1972  1.08  1.17  
1974  1.39  1.86  
1975  1.10  1.01  
1976  1.05  1.20  
1977  1.61  1.76  
1980  1.25  1.36  
1981  1.28  1.15  
1982  1.11  0.86  
1983  1.09  1.39  
1984  1.55  1.38  
1985  1.46  1.39  
1986  1.42  1.67  
1987  1.52  1.32  
1988  1.17  1.33  
1989  1.21  1.16  
1990  1.39  1.19  
1991  1.27  1.10  
1992  1.44  0.91  
1993  1.15  1.28  
1994  1.48  0.95  
1995  1.22  1.06  
1996  0.91  0.80  
1997  1.41  1.03  
1998  1.24  1.13  
1999  1.57  1.07  
2000  1.08  1.52  
2001  1.22  1.05  
2002  1.30  1.20  
2003  1.47  0.99  
2004  1.73  1.06  
2005  1.64  1.25  
2006  1.49  0.95  
2007  1.29  1.10  
2008  1.26  1.35  
2010  1.58  1.18  
2011  1.12  1.47  
2012  1.41  1.36  
2013  1.17  1.11  
2014  0.89  0.69  
2015  1.37  1.26  
2016  1.17  1.01  
2017  1.30  1.13  
2018  1.16  1.15  
2019  1.37  1.17  
2020  1.07  1.26  
2021  1.49  1.30  
2022  1.20  1.66  
2023  1.28  1.40  
2024  1.32  1.49  
2025  1.08  0.62  
2026  1.90  1.48  
2031  1.34  1.11  
2032  0.98  0.83  
2033  1.34  1.05  
2034  1.39  1.05  
2035  1.45  1.27  
2041  1.84  1.57  
2044  1.48  1.49  
2045  1.25  1.19  
2046  1.29  1.04  
2047  1.13  0.89  
2048  1.15  1.07  
2049  1.22  0.75  
2050  1.24  1.21  
2051  1.23  1.17  
2052  1.53  0.61  
2053  1.39  1.12  
2054  1.41  1.06  
2055  1.26  1.42  
2057  1.86  -0.02  
2058  1.33  1.13  
2059  1.39  1.28  
2060  1.30  0.92  
2061  1.24  1.10  
2062  1.38  1.18  
2063  1.28  0.87  
2064  0.99  1.29  
2065  1.30  0.91  
2066  1.32  0.95  
2067  1.26  0.81  
2068  1.17  1.03  
2069  1.21  1.17  
2070  1.05  1.26  
2071  1.46  1.49  
2072  1.46  1.18  
2073  1.24  1.33  
2074  0.96  1.30  
2075  1.12  1.45  
2076  1.19  1.08  
2077  1.34  1.08  
2078  1.50  1.17  
2079  1.01  0.87  
2080  1.52  1.34  
2081  1.61  1.26  
2082  1.23  0.96  
2083  1.39  1.23  
2084  1.27  0.75  
2085  1.31  1.22  
2086  1.36  0.89  
2087  1.08  0.91  
2088  1.04  0.97  
2089  1.51  1.13  
2090  1.30  0.78  
2091  1.52  0.79  
2092  1.66  1.09  
2093  1.34  1.26  
2094  0.96  1.22  
2095  1.65  1.21  
2096  1.11  1.19  
2097  1.31  1.04  
2098  1.14  1.35  
2099  1.11  0.98  
2100  1.21  0.77  
2101  1.13  1.31  
2102  1.36  0.92  
2103  1.37  1.19  
2104  1.28  1.31  
2106  1.28  0.90  
2107  1.24  0.97  
2108  0.90  0.93  
2109  0.96  0.83  
2110  1.02  1.16  
2111  1.59  1.31  
2112  1.33  0.98  
2113  1.17  1.19  
2116  1.02  1.18  
2117  1.39  0.69  
2118  1.71  0.94  
2119  1.13  1.04  
2120  1.02  1.05  
2121  1.29  1.21  
2122  1.47  1.12  
2123  1.26  1.53  
2124  1.06  1.06  
2125  1.36  0.81  
2126  1.37  1.26  
2127  1.18  1.00  
2128  1.34  1.11  
2129  1.22  1.10  
2130  1.24  0.91  
2131  1.25  1.42  
2132  1.24  1.49  
2133  1.10  0.94  
2134  1.31  1.03  
2135  1.43  0.67  
2136  1.36  0.91  
2137  1.13  0.79  
2138  1.06  1.11  
2139  1.24  1.21  
2140  1.14  0.73  
2141  1.57  0.99  
2142  0.85  1.01  
2143  1.49  1.51  
2144  1.05  1.06  
2145  1.03  1.17  
2146  1.07  0.99  
2147  1.26  1.04  
2148  1.20  1.05  
2149  0.96  1.02  
2150  1.31  0.88  
2151  1.07  0.71  
2152  1.30  0.85  
2153  0.84  1.33  
2154  1.53  1.20  
2155  1.13  0.77  
2156  1.28  0.90  
2157  1.29  1.18  
2158  1.64  1.04  
2159  1.25  0.92  
2160  1.22  0.93  
2161  1.54  1.16  
2162  1.32  1.00  
2163  1.14  0.89  
2164  1.36  1.04  
2165  1.36  1.06  
2166  1.08  0.88  
2167  1.22  1.34  
2168  1.41  1.13  
2169  1.40  0.67  
2170  1.20  1.36  
2171  1.23  0.88  
2173  1.40  -0.14  
2174  1.13  0.95  
2175  0.78  0.83  
2176  1.24  0.98  
2177  1.43  1.11  
2178  1.40  0.79  
2179  1.49  0.53  
2180  1.07  0.81  
2181  1.10  1.28  
2182  0.98  0.92  
2183  1.43  1.00  
2184  1.04  0.88  
2185  1.43  1.39  
2186  1.54  1.02  
2187  1.27  1.20  
2188  1.15  1.26  
2189  1.24  1.20  
2190  1.07  1.07  
2191  1.38  1.34  
2192  1.13  1.11  
2193  1.03  0.98  
2194  1.07  0.67  
2195  1.34  1.01  
2196  1.28  1.04  
2197  1.23  1.65  
2198  1.57  0.81  
2199  1.11  1.53  
2200  1.09  1.05  
2201  1.22  1.08  
2202  1.21  1.03  
2203  1.35  1.31  
2204  1.18  1.11  
2205  1.37  1.20  
2206  1.47  1.17  
2207  1.23  1.28  
2208  1.18  0.78  
2209  1.18  1.66  
2210  1.32  1.29  
2211  1.15  1.36  
2212  1.75  1.46  
2213  1.14  1.00  
2214  1.12  0.94  
2215  0.92  0.91  
2216  0.89  1.21  
2218  1.09  0.60  
2219  1.32  1.13  
2220  0.95  0.92  
2221  0.98  1.25  
2222  0.92  1.30  
2223  1.29  0.91  
2224  0.91  1.13  
2225  1.24  0.96  
2226  1.44  1.06  
2227  1.30  0.95  
2228  1.23  1.24  
2229  1.31  1.10  
2230  1.20  1.14  
2232  1.11  0.92  
2233  1.45  1.48  
2234  1.23  0.98  
2235  1.37  0.77  
2236  1.11  1.28  
2237  1.43  0.77  
2238  1.12  1.27  
2240  1.02  1.17  
2242  1.12  1.00  
2243  1.45  1.12  
2244  1.44  1.28  
2245  1.38  1.30  
2246  1.44  1.01  
2247  1.09  0.93  
2248  1.14  1.40  
2249  1.19  1.02  
2250  1.29  1.17  
2251  1.49  0.87  
2252  1.38  0.80  
2253  0.99  1.16  
2254  1.20  0.54  
2255  1.27  1.13  
2257  1.30  1.23  
2258  1.23  1.15  
2259  0.87  1.09  
2260  1.30  0.86  
2261  1.43  1.15  
2262  1.24  1.10  
2263  1.76  0.67  
2265  1.17  0.91  
2266  1.23  0.93  
2267  1.37  1.27  
2268  1.20  1.09  
2269  1.46  1.29  
2270  1.20  1.09  
2272  1.18  0.78  
2273  1.09  0.92  
2274  1.24  1.35  
2275  1.15  0.75  
2276  1.18  0.95  
2277  1.26  1.14  
2278  1.29  1.37  
2279  1.02  0.95  
2280  1.00  1.18  
2281  1.27  0.93  
2282  1.46  1.31  
2283  1.12  1.37  
2284  1.55  1.21  
2285  1.41  1.15  
2286  1.26  0.98  
2287  1.54  0.98  
2288  1.15  1.17  
2289  1.20  1.06  
2290  1.10  1.02  
2324  1.26  1.35  
2325  1.10  1.55  
2326  2.07  1.82  
2327  1.38  1.19  
2328  1.02  0.97  
2329  2.01  1.18  
2330  1.22  1.59  
2331  1.18  0.79  
2332  1.66  1.72  
2333  1.99  0.94  
2334  1.31  1.04  
2335  1.73  1.35  
2336  1.48  1.44  
2337  1.23  1.54  
2338  1.18  1.75  
2339  2.52  1.69  
2340  1.21  0.95  
2341  1.93  1.48  
2342  1.79  0.95  
2343  2.06  0.26  
2344  1.51  1.41  
2345  1.94  1.54  
2346  1.61  1.31  
2347  1.78  1.54  
2348  1.31  1.80  
2349  1.63  0.73  
2350  2.13  1.26  
2351  1.76  1.38  
2352  1.64  2.02  
2354  1.13  1.42  
2355  1.72  1.79  
2356  1.41  0.72  
2357  2.17  1.51  
2358  2.36  1.37  
2360  1.42  1.54  
2361  1.37  1.45  
2362  1.63  1.31  
2363  1.42  1.38  
2364  1.76  1.23  
2365  1.27  1.59  
2366  1.68  1.10  
2367  1.59  1.48  
2368  1.93  1.07  
2369  1.56  1.08  
2370  1.40  1.55  
2371  1.31  1.72  
2372  1.41  1.34  
2373  1.73  1.69  
2374  1.46  0.87  
2375  2.00  1.70  
2376  1.61  1.34  
2377  1.38  1.54  
2378  2.05  1.72  
2379  0.43  -1.63  
2380  2.52  1.96  
2381  1.28  1.20  
2383  0.25  0.07  
2384  0.25  -0.02  
2385  0.26  0.08  
2386  0.24  0.02  
2387  0.30  0.05  
2388  0.31  -0.05  
2389  0.24  -0.04  
2390  0.26  0.06  
2391  0.29  0.04  
2392  1.59  1.24  
2393  2.32  2.70  
2394  1.78  1.33  
2395  0.96  1.13  
2396  0.82  1.17  
2399  1.84  0.98  
2400  2.42  2.28  
2401  1.78  1.05  
2402  1.48  1.16  
2403  1.59  1.82  
2404  0.74  0.96  
2405  2.38  1.58  
2406  2.01  1.55  
2407  2.13  2.03  
2408  2.42  0.97  
2410  0.35  0.54  
2412  2.13  4.19  
2413  4.27  0.90  
2414  1.45  4.20  
2415  1.78  1.46  
2416  1.94  1.82  
2417  1.98  1.55  
2418  2.05  1.54  
2420  1.26  1.31  
2422  1.41  1.41  
2423  1.84  1.52  
2424  1.93  1.45  
2425  1.63  1.09  
2426  1.69  1.42  
2427  1.99  1.27  
2428  1.68  1.47  
2429  0.68  -0.08  
2431  1.76  2.49  
2432  0.67  1.50  
2433  1.47  1.10  
2435  1.55  1.71  
2436  2.09  0.98  
2437  1.93  1.72  
2438  1.82  1.66  
2439  1.93  1.23  
2440  2.04  0.28  
2441  2.53  1.22  
2442  1.81  1.77  
2443  2.03  2.06  
2444  2.42  1.44  
2445  1.68  1.17  
2446  1.71  1.43  
2447  1.81  1.19  
2448  1.48  1.35  
2449  1.59  1.36  
2450  1.53  1.05  
2451  1.51  1.31  
2452  1.81  0.92  
2453  1.79  0.79  
2454  1.43  1.68  
2455  1.72  1.29  
2457  1.80  1.16  
2458  1.56  1.36  
2459  0.97  -0.76  
2460  1.66  1.21  
2461  1.30  1.01  
2462  1.70  1.19  
2468  1.59  0.53  
2470  2.54  1.93  
2473  3.13  0.55  
2474  3.04  2.05  
2475  1.99  0.78  
2476  2.54  1.75  
2477  2.53  2.12  
2478  2.70  2.16  
2479  1.79  1.60  
2480  2.47  0.89  
2481  2.85  1.38  
2482  2.50  1.27  
2483  2.51  1.94  
2484  2.97  2.37  
2485  2.05  1.62  
2486  2.52  1.84  
2487  1.89  2.23  
2488  2.17  2.11  
2489  2.78  1.71  
2490  2.62  1.30  
2491  2.01  2.07  
2492  2.43  1.96  
2493  2.35  2.13  
2494  2.11  1.96  
2495  2.30  1.94  
2496  2.63  2.34  
2497  2.70  2.20  
2498  3.11  1.98  
2499  2.44  1.31  
2500  2.82  1.69  
2501  2.92  1.55  
2502  2.55  2.19  
2503  2.76  2.08  
2504  2.33  0.75  
2505  2.94  1.63  
2506  2.76  2.01  
2507  2.42  1.65  
2508  2.92  1.40  
2509  2.52  2.02  
2510  1.98  2.31  
2511  2.33  2.14  
2512  2.39  2.13  
2513  2.91  1.59  
2514  2.52  2.05  
2515  2.33  1.70  
2516  2.23  1.74  
2518  0.25  0.11  
2519  2.90  1.80  
2520  2.87  1.88  
2521  2.42  1.53  
2522  2.84  2.54  
2523  1.48  1.30  
2524  2.24  1.19  
2525  2.52  1.75  
2526  2.20  1.72  
2527  2.10  2.45  
2528  2.64  1.87  
2529  2.13  1.88  
2530  2.19  1.66  
2531  2.63  2.40  
2532  2.11  1.29  
2533  2.25  1.65  
2534  2.54  1.73  
2535  2.59  1.81  
2536  1.83  1.44  
2537  2.07  1.20  
2538  2.36  1.72  
2539  2.72  1.75  
2540  1.73  1.85  
2541  2.36  1.75  
2542  2.14  1.39  
2543  2.10  1.65  
2544  2.13  1.62  
2545  1.94  2.58  
2546  2.44  2.17  
2547  2.11  2.21  
2548  2.60  1.49  
2549  2.53  2.12  
2550  3.30  1.84  
2551  2.56  1.58  
2552  2.57  1.61  
2553  2.94  1.94  
2554  2.73  1.58  
2555  2.24  1.97  
2556  2.63  1.93  
2557  2.57  1.73  
2558  2.89  1.74  
2559  2.48  1.76  
2560  2.37  1.86  
2561  2.57  1.42  
2562  1.81  1.23  
2563  2.27  2.33  
2564  2.41  2.07  
2565  2.26  1.76  
2566  2.71  1.50  
2567  1.17  1.23  
2568  1.23  1.38  
2570  0.24  0.10  
2571  2.26  1.25  
2572  1.70  0.96  
2573  1.56  1.43  
2574  1.19  0.87  
2575  1.55  1.13  
2576  1.46  1.07  
2577  1.76  1.09  
2578  1.67  1.25  
2579  1.72  1.45  
2580  1.72  1.20  
2581  1.42  1.32  
2582  2.00  0.98  
2583  1.67  1.24  
2584  1.46  0.92  
2585  1.44  1.26  
2586  1.01  2.00  
2587  1.58  1.04  
2588  1.24  1.02  
2589  1.37  1.16  
2590  1.54  1.36  
2591  1.56  1.38  
2592  1.71  0.88  
2593  1.76  1.04  
2595  1.40  0.57  
2598  1.49  1.27  
2599  1.49  1.36  
2600  1.76  1.37  
2601  1.33  1.13  
2602  1.63  1.63  
2603  0.99  1.32  
2604  1.57  1.08  
2605  2.10  1.22  
2606  1.81  0.67  
2607  1.39  1.06  
2611  1.72  0.59  
2612  1.20  1.17  
2613  1.17  1.01  
2614  1.17  1.02  
2615  1.28  1.14  
2616  1.17  0.98  
2617  1.14  0.89  
2618  1.54  1.13  
2619  1.53  1.01  
2620  1.46  0.78  
2621  1.47  1.43  
2622  1.54  1.39  
2623  1.26  1.18  
2624  1.10  0.90  
2625  1.65  0.68  
2626  1.80  1.15  
2627  1.08  0.96  
2628  1.24  0.98  
2629  1.75  1.12  
2634  1.90  0.63  
2635  1.23  0.87  
2636  1.33  0.94  
2637  0.98  0.96  
2638  1.29  1.11  
2639  1.54  0.79  
2640  1.29  0.46  
2641  1.37  1.14  
2642  1.28  0.88  
2643  1.27  0.71  
2644  1.53  0.91  
2646  -0.44  1.36  
2648  1.09  0.76  
2649  0.47  1.26  
2650  0.38  1.18  
2651  0.55  0.98  
2653  0.69  0.92  
2654  0.59  1.08  
2655  1.00  0.88  
2656  0.27  1.27  
2657  0.51  1.50  
2658  0.36  0.97  
2661  0.57  1.21  
2662  0.77  1.04  
2667  0.52  1.60  
2669  0.22  1.11  
2670  0.32  1.58  
2671  0.01  1.44  
2672  0.44  1.21  
