90862  0.36  0.37  0.38  0.24  0.29  0.35  0.49  0.60  0.46  0.59  0.48  0.39  0.17  0.30  0.34  0.33  
90863  0.41  0.54  0.23  0.35  0.28  0.23  0.65  0.83  0.68  0.31  0.36  0.44  0.13  0.37  0.40  0.34  
90864  0.39  0.43  0.43  0.34  0.32  0.36  0.50  0.57  0.53  0.63  0.48  0.36  0.15  0.35  0.32  0.27  
90865  0.33  0.43  0.41  0.30  0.33  0.39  0.50  0.56  0.44  0.68  0.51  0.40  0.15  0.38  0.35  0.20  
90866  0.32  0.38  0.41  0.27  0.36  0.34  0.54  0.58  0.51  0.64  0.53  0.39  0.13  0.35  0.32  0.22  
90867  0.34  0.34  0.39  0.27  0.32  0.47  0.47  0.54  0.53  0.69  0.52  0.34  0.17  0.45  0.31  0.25  
90868  0.31  0.40  0.47  0.24  0.29  0.39  0.47  0.59  0.53  0.63  0.53  0.38  0.17  0.38  0.29  0.24  
90869  0.37  0.41  0.41  0.27  0.34  0.33  0.50  0.58  0.54  0.57  0.54  0.35  0.17  0.38  0.26  0.25  
90870  0.42  0.37  0.38  0.29  0.31  0.36  0.48  0.58  0.57  0.55  0.56  0.37  0.17  0.38  0.32  0.17  
90871  0.41  0.37  0.32  0.33  0.28  0.35  0.54  0.62  0.53  0.62  0.52  0.31  0.21  0.33  0.35  0.28  
90872  0.46  0.49  0.86  0.15  0.48  0.62  0.59  0.60  0.62  0.62  0.38  0.41  0.32  0.21  0.54  0.31  
90873  0.36  0.42  0.38  0.32  0.32  0.39  0.46  0.59  0.48  0.59  0.52  0.39  0.15  0.37  0.33  0.22  
90874  0.37  0.44  0.42  0.30  0.30  0.37  0.49  0.59  0.53  0.65  0.54  0.36  0.16  0.35  0.33  0.23  
90875  0.39  0.39  0.43  0.30  0.32  0.38  0.49  0.60  0.53  0.62  0.52  0.38  0.16  0.36  0.34  0.22  
90876  0.35  0.39  0.45  0.31  0.31  0.38  0.48  0.56  0.55  0.62  0.53  0.39  0.17  0.37  0.32  0.23  
