nrun   s0l    s0r
91526  0.20  1.05  
91527  0.25  0.58  
91531  0.08  0.84  
91532  0.15  0.89  
91533  -0.21  0.83  
91534  0.07  0.98  
91535  0.11  0.49  
91536  0.18  0.60  
91537  0.19  0.61  
91538  -0.11  0.77  
91539  -0.00  0.80  
91540  0.31  0.78  
91541  0.04  0.73  
91542  0.48  0.53  
91543  -0.30  0.82  
91544  0.35  0.75  
91546  0.24  0.10  
91547  -0.48  0.38  
91548  0.23  0.87  
91549  0.16  0.70  
91550  0.54  0.85  
91551  0.67  0.46  
91552  0.17  0.51  
91554  0.25  0.84  
91555  0.03  0.67  
91556  0.28  0.56  
91557  0.26  0.72  
91558  0.79  0.56  
91559  0.00  0.77  
91561  0.11  0.88  
91562  0.34  0.64  
91563  0.45  0.71  
91564  0.53  0.85  
91565  0.61  1.04  
91566  -0.25  0.97  
91567  -0.06  0.75  
91568  -0.02  0.87  
91569  -0.08  0.73  
91570  0.74  0.55  
91571  0.40  1.06  
91572  0.25  0.81  
91573  0.13  0.87  
91574  0.05  0.85  
91575  -0.39  0.78  
91576  0.30  0.82  
91577  -0.16  1.13  
91578  0.23  0.87  
91579  0.27  0.91  
91590  0.58  1.17  
91591  3.45  1.91  
91593  0.48  1.02  
91594  4.24  1.23  
91595  1.34  2.08  
91596  0.67  0.87  
91601  0.10  1.15  
91602  -0.04  1.52  
91603  0.42  0.85  
91604  0.34  1.78  
91605  0.08  1.12  
91606  0.83  0.89  
91607  0.47  0.06  
91608  -0.06  0.96  
91609  0.08  1.10  
91610  0.47  0.08  
91611  0.34  1.09  
91612  0.32  1.72  
91614  0.26  1.16  
91615  0.40  1.28  
91616  0.05  0.76  
91617  0.42  1.28  
91618  0.35  1.19  
91619  0.59  1.23  
91620  0.55  1.09  
91621  0.27  1.14  
91622  0.53  0.67  
91623  0.14  1.09  
91624  0.48  0.99  
91625  -0.44  1.58  
91626  -0.47  1.01  
91627  0.71  0.75  
91628  0.39  1.05  
91629  0.12  0.86  
91630  0.66  1.34  
91631  1.04  1.05  
91632  -0.07  0.93  
91633  -1.02  0.71  
91634  0.51  1.15  
91635  0.53  1.21  
91636  0.09  0.88  
91637  0.65  1.04  
91638  -0.03  0.86  
91639  -0.05  -0.03  
91640  -0.18  0.05  
91641  -0.20  0.11  
91642  -0.17  0.01  
91643  -0.17  0.20  
91644  -0.12  0.01  
91645  -0.13  0.01  
91646  -0.14  0.01  
91647  -0.15  0.03  
91648  0.10  0.81  
91649  0.52  1.21  
91650  0.08  1.12  
91651  0.07  0.75  
91655  0.79  0.75  
91656  0.68  1.16  
91657  0.31  1.27  
91658  0.65  0.79  
91659  0.67  0.71  
91662  0.38  0.79  
91663  0.17  0.83  
91664  0.30  0.90  
91665  0.27  1.02  
91666  0.51  0.94  
91667  -0.02  1.05  
91668  0.61  0.51  
91671  0.73  1.10  
91675  1.29  0.36  
91676  -0.71  0.76  
91677  0.13  0.33  
91680  0.36  0.79  
91681  0.91  0.69  
91682  0.81  1.08  
91683  -0.03  0.90  
91684  0.25  0.68  
91685  0.38  0.87  
91686  0.39  1.13  
91687  0.83  1.35  
91688  0.70  0.92  
91689  0.33  0.94  
91690  0.94  0.65  
91691  0.74  0.80  
91692  0.37  0.75  
91693  0.47  0.82  
91694  0.81  0.99  
91695  0.82  0.33  
91712  0.19  1.94  
91713  -0.31  1.20  
91726  0.00  0.78  
91727  0.51  0.80  
91737  0.11  1.51  
91748  0.32  0.78  
91751  0.83  0.98  
91752  0.04  0.93  
91756  0.39  1.15  
91759  0.01  0.73  
91760  0.52  0.91  
91774  1.04  1.12  
91775  0.80  0.81  
91777  0.39  0.92  
91779  0.23  1.28  
91780  0.68  1.01  
91786  0.88  1.17  
91787  0.46  0.60  
91788  -0.05  0.84  
91789  0.89  0.60  
91790  0.40  0.80  
91791  0.81  0.78  
91792  0.14  1.14  
91793  -1.04  0.86  
91794  0.72  0.68  
91795  0.26  0.59  
91796  0.60  0.71  
91798  0.21  0.85  
91799  0.87  0.81  
91800  0.42  0.78  
91801  -0.02  0.72  
91803  0.87  0.16  
91804  0.55  0.66  
91805  0.13  0.75  
91806  0.58  1.06  
91813  -0.31  1.00  
91814  0.10  0.72  
91815  0.22  0.45  
91816  0.28  0.76  
91817  0.91  0.71  
91818  0.45  1.03  
91819  0.35  0.78  
91820  0.26  0.41  
91821  0.25  0.57  
91822  0.16  0.79  
91823  -0.15  0.95  
91824  0.14  0.96  
91825  0.42  0.90  
91830  0.48  0.66  
91831  -0.13  0.90  
91832  0.52  0.82  
91833  0.01  0.73  
91834  0.60  0.81  
91835  0.55  0.55  
91836  0.64  0.88  
91837  0.52  0.93  
91838  0.50  1.06  
91841  0.53  0.81  
91843  1.01  0.55  
91844  0.35  0.93  
91845  -0.06  0.46  
91846  0.65  0.53  
91847  0.69  0.55  
91848  0.05  0.75  
91849  0.78  0.61  
91850  0.02  -0.09  
91851  0.04  0.99  
91852  0.89  0.20  
91855  -0.08  0.77  
91856  0.34  0.61  
91860  0.26  1.26  
91867  1.42  0.57  
91868  0.63  0.95  
91869  0.80  0.20  
91871  0.34  0.89  
91872  0.16  0.94  
91873  0.49  0.90  
91874  0.29  0.44  
91875  0.74  0.42  
91876  0.75  1.11  
91877  0.40  1.09  
91878  0.21  0.60  
91879  1.18  0.58  
91880  1.09  0.87  
91881  0.76  0.65  
91882  0.46  0.86  
91883  0.47  0.82  
91884  0.36  0.94  
91886  0.32  0.59  
91887  0.50  0.74  
91888  0.66  0.55  
91890  0.61  0.78  
91893  0.89  0.86  
91894  0.34  0.89  
91895  0.50  0.61  
91896  0.50  0.97  
91897  0.73  0.86  
91899  -0.18  0.18  
91900  0.28  0.58  
91901  0.24  0.66  
91903  0.18  0.59  
91904  0.32  0.14  
91905  0.38  0.53  
91906  1.01  1.04  
91907  0.29  0.54  
91908  0.19  0.96  
91910  -0.34  0.52  
91911  -0.28  0.09  
91914  -0.11  0.17  
91917  0.58  0.85  
91918  0.53  0.51  
91919  0.18  0.81  
91920  0.55  0.61  
