nrun  cer1    cer2    cer3    cer4    cer5    cer6    cer7    cer8    cer9    cer10   flag
1411  336.76  332.48  333.86  347.06  330.63  314.63  370.38  344.22  340.10  381.32  0
1412  335.55  329.70  332.99  351.46  330.58  318.79  366.85  333.57  350.68  484.00  1
1413  334.92  328.67  328.75  347.03  328.01  319.48  358.76  345.09  353.72  482.28  1
1414  333.50  325.76  338.23  341.09  326.65  311.24  365.48  343.94  359.86  373.43  0
1415  329.94  337.81  336.11  344.88  331.67  329.23  337.19  326.17  318.11  620.80  1
1416  335.92  341.78  329.76  342.06  322.43  316.50  375.15  341.37  344.56  485.33  1
1420  360.26  337.46  342.99  353.85  329.24  321.40  384.75  369.31  2279.90  1775.88  1
1422  327.86  331.39  333.94  356.00  322.95  322.79  356.87  340.12  353.87  1100.94  1
1423  329.46  324.89  336.02  339.19  318.71  339.22  340.17  341.48  341.46  1894.31  1
1425  332.47  334.60  332.80  346.19  328.19  320.18  362.48  340.01  356.31  363.87  0
1426  341.52  336.46  337.79  345.64  327.27  321.17  368.34  338.60  349.84  373.50  0
1427  342.39  328.32  334.71  352.06  323.70  325.52  376.85  342.50  341.43  363.14  0
1428  337.44  324.70  341.46  333.53  330.00  316.25  364.01  341.53  343.08  403.07  0
1429  348.67  333.17  340.36  340.14  324.18  314.31  379.47  338.70  299.13  1240.09  1
1430  330.07  325.43  330.85  350.92  324.30  323.04  362.54  340.66  358.29  390.06  0
1431  328.93  339.79  333.00  345.52  324.36  323.71  367.84  347.62  353.76  546.02  1
1432  328.40  337.69  333.16  360.09  324.48  317.94  368.07  340.54  394.09  377.18  0
1433  333.08  338.86  329.58  349.02  325.02  318.06  372.49  345.59  345.53  361.01  0
1434  326.98  329.19  334.42  343.25  319.00  314.37  359.12  343.97  342.51  466.82  1
1435  331.52  328.29  336.12  344.44  331.84  321.18  358.55  343.13  339.45  364.28  0
1436  338.07  330.10  335.78  337.41  320.29  324.38  355.06  342.21  346.03  372.14  0
1437  338.76  331.14  331.35  349.51  328.55  318.12  359.49  341.93  348.58  370.22  0
1438  343.72  335.29  332.62  343.60  322.91  320.37  368.50  335.88  358.79  364.37  0
1439  338.97  329.65  333.38  340.28  324.69  319.57  354.12  338.61  351.04  352.97  0
1440  333.62  336.35  332.98  345.42  326.78  320.06  357.95  347.17  348.55  390.99  0
1441  336.82  335.14  343.68  339.02  332.70  326.17  375.02  336.29  365.73  447.28  0
1450  337.09  324.97  330.21  349.19  330.18  326.32  356.73  336.57  350.51  379.76  0
1451  329.51  328.09  333.58  347.91  321.57  316.07  357.65  336.27  360.07  468.85  1
1452  332.88  311.67  340.48  356.78  316.79  319.14  363.51  337.90  331.82  799.28  1
1453  338.18  327.84  338.28  342.47  329.74  319.13  372.80  346.24  373.18  362.21  0
1454  337.47  329.92  335.66  340.89  324.36  321.39  354.23  340.19  354.99  376.73  0
1455  341.00  336.76  341.39  348.08  323.56  327.88  359.94  343.75  359.24  466.19  1
1456  339.56  318.15  328.93  336.27  326.87  319.09  379.09  346.99  337.33  456.07  1
1457  334.90  329.75  329.10  344.63  322.50  316.02  365.62  347.19  354.77  802.35  1
1458  328.76  329.94  331.61  345.71  330.34  323.34  366.49  349.67  359.70  458.56  1
1459  334.51  330.94  331.02  344.09  319.93  328.07  363.89  339.11  356.01  362.03  0
1460  336.08  333.72  336.17  343.76  324.06  321.12  358.89  338.26  348.23  355.23  0
1461  337.88  336.51  334.81  350.32  324.25  318.75  360.18  340.80  342.21  370.20  0
1462  335.19  335.23  342.45  341.82  327.36  319.94  369.34  333.93  355.76  380.33  0
1463  331.68  328.43  332.71  340.78  326.38  321.35  377.67  339.68  496.21  371.09  1
1464  342.41  349.70  341.32  352.22  322.41  324.41  361.66  349.78  347.30  372.89  0
1465  335.17  336.68  337.93  337.30  322.98  319.51  354.81  347.43  327.60  377.64  0
1466  331.27  333.06  335.98  337.72  328.85  321.36  364.88  342.98  343.51  361.69  0
1468  337.32  335.74  340.51  338.37  326.66  322.12  364.96  348.98  342.78  841.28  1
1469  332.72  330.62  341.82  354.67  326.37  323.15  374.09  342.56  348.60  477.69  1
1470  340.45  327.32  335.28  344.04  326.50  317.63  368.86  352.68  361.74  526.67  1
1472  333.75  329.14  342.68  345.87  335.16  319.40  372.70  337.08  350.04  664.54  1
1474  259.60  266.21  259.78  275.02  252.55  266.79  282.31  287.36  276.77  299.30  0
