nrun  S2L1    S2L2    S2L3    S2L4    S2L5    S2L6    S2L7    S2L8    S2L9    S2L10   S2L11   S2L12   S2L13   S2L14   S2L15   S2L16   flag
1328  299.61  296.09  295.40  294.85  297.48  295.75  295.71  296.17  288.17  296.10  292.75  293.71  291.49  290.24  293.73  298.09  0
1329  300.67  292.77  289.83  289.55  289.72  289.36  289.46  289.87  276.70  292.52  288.36  290.84  289.49  289.04  294.20  299.75  0
1331  299.81  291.43  288.10  289.23  289.83  289.27  289.79  289.98  277.15  292.16  288.49  289.78  290.32  287.87  292.58  297.83  0
1333  295.98  291.04  287.15  287.88  288.77  288.29  288.37  288.07  276.09  291.86  287.67  290.75  288.64  288.10  292.55  299.03  0
1334  295.45  290.42  287.89  287.65  289.49  288.25  289.04  288.69  276.69  291.90  287.27  290.94  289.83  288.60  292.64  293.70  0
1335  295.15  289.11  287.76  288.48  289.47  287.93  288.91  288.89  276.44  291.47  287.63  290.19  288.26  287.35  292.08  295.33  0
1336  295.73  289.96  287.92  288.66  287.97  289.30  288.20  288.85  276.67  290.89  287.09  290.53  289.15  287.92  291.20  295.44  0
1337  296.10  289.82  287.88  288.20  289.23  288.14  287.96  288.91  275.64  291.83  289.22  290.00  289.44  287.91  292.89  297.50  0
1338  295.33  290.51  287.70  288.54  288.99  288.04  288.56  288.89  277.12  291.62  287.81  290.30  289.84  287.76  291.31  301.61  0
1339  299.16  289.61  288.00  288.59  287.46  287.59  287.80  289.84  274.69  291.42  287.22  290.32  289.16  288.48  291.89  292.57  0
1342  303.08  304.47  303.84  298.71  300.89  296.80  295.11  293.63  281.66  294.03  288.47  291.61  289.65  287.47  293.44  298.89  0
1343  305.99  293.62  294.66  295.65  295.61  292.91  294.14  294.14  284.73  297.21  291.64  293.63  289.22  290.10  295.02  301.31  0
1344  302.36  295.39  292.35  292.14  295.52  291.32  291.89  293.67  286.29  296.04  291.65  291.05  294.04  293.47  299.10  292.66  0
1346  309.33  302.87  301.52  297.12  296.61  294.87  291.01  290.23  278.65  293.12  287.73  292.00  289.30  287.29  291.82  293.34  0
1347  308.30  302.55  298.23  296.69  297.89  295.43  293.65  294.06  282.61  295.46  290.13  292.50  290.18  288.52  293.66  297.56  0
1348  301.04  295.63  292.17  289.96  290.76  289.25  288.21  287.69  274.97  292.17  287.63  291.07  288.65  287.59  291.42  294.62  0
1350  303.28  300.52  298.08  296.46  299.29  296.06  295.72  295.83  287.50  297.15  291.69  293.58  291.33  289.13  294.53  295.72  0
1351  304.15  299.65  298.33  297.14  299.15  296.98  297.16  296.55  286.77  297.13  292.16  293.99  291.32  288.41  292.96  296.59  0
1352  309.37  300.61  300.29  297.99  298.48  294.77  294.35  294.45  282.54  295.58  288.44  291.90  291.43  288.99  293.67  296.51  0
1353  310.47  299.68  299.13  297.50  297.85  295.38  293.65  293.48  282.08  294.77  289.76  293.45  289.62  287.99  292.72  298.07  0
1354  303.49  295.91  292.82  290.65  289.64  288.27  288.28  288.55  275.54  291.72  286.92  291.34  288.78  286.71  293.28  294.50  0
1355  302.86  294.53  293.00  290.69  290.52  290.09  288.29  288.15  274.83  292.72  287.57  290.65  288.82  287.82  292.63  295.19  0
1356  305.44  301.67  298.66  297.44  298.32  294.61  293.77  293.09  282.08  295.43  288.91  293.44  290.00  288.21  293.67  295.38  0
1357  307.22  302.18  298.36  296.56  297.80  294.73  293.86  295.05  281.87  297.16  289.47  292.38  289.98  287.65  293.89  295.01  0
1358  301.01  296.37  293.91  290.58  290.18  288.79  288.75  289.23  274.83  293.58  287.00  290.82  288.75  286.82  291.80  293.85  0
1359  301.47  296.23  291.88  290.46  289.91  287.99  288.22  288.47  274.91  293.78  287.54  291.18  288.76  287.91  292.39  290.69  0
1360  312.01  303.58  300.69  295.76  295.46  293.26  291.17  291.60  277.92  293.41  287.40  291.01  290.45  287.39  293.97  296.22  0
1362  319.57  312.53  312.75  304.57  303.34  296.65  294.37  294.95  280.06  295.91  289.72  291.76  291.43  287.28  292.36  298.95  0
1363  311.33  299.19  295.80  293.72  296.55  293.94  295.78  295.76  285.44  298.86  290.51  296.17  294.49  290.38  294.75  293.14  0
1364  309.71  301.56  292.27  291.67  294.80  292.16  292.90  291.26  279.41  298.39  291.99  293.42  294.09  289.56  301.33  288.26  0
1366  317.05  312.63  306.48  300.46  297.89  295.05  293.13  289.92  271.48  294.42  286.42  293.18  290.85  287.90  292.41  290.37  0
1367  318.29  307.10  305.51  301.03  300.14  296.96  294.69  293.40  280.29  296.30  287.76  292.34  291.21  289.27  293.18  291.88  0
1368  309.47  310.85  305.75  299.46  298.71  295.33  293.68  292.15  277.95  297.20  289.46  293.48  290.77  288.82  294.86  287.66  0
1369  310.39  302.07  298.07  293.00  291.89  290.00  288.16  287.04  271.29  292.16  286.73  291.48  289.44  287.67  292.41  289.10  0
1370  308.75  300.31  300.13  293.68  290.72  290.24  287.71  287.71  274.86  293.38  286.33  291.04  289.55  286.20  291.52  293.68  0
1371  306.08  303.23  302.19  299.93  300.23  296.95  296.45  295.75  283.33  298.88  290.92  294.12  291.10  288.52  295.10  294.72  0
1372  311.78  305.89  303.09  299.37  299.02  295.87  295.85  296.83  283.38  297.86  291.81  295.69  293.01  288.90  295.93  295.71  0
1373  307.93  308.72  304.09  299.09  301.02  297.55  294.35  294.26  279.04  295.90  290.08  293.02  290.39  289.59  295.56  298.06  0
1374  307.16  308.81  302.29  301.28  300.12  297.12  293.80  293.89  277.18  297.46  288.65  294.00  290.60  287.99  291.45  295.10  0
1375  317.59  310.88  304.10  301.12  301.62  295.62  293.05  291.72  277.08  294.69  289.94  294.22  290.84  292.19  295.47  290.72  0
1376  325.36  308.83  305.55  301.40  300.49  296.38  293.73  294.45  279.07  297.90  290.27  293.46  291.02  286.20  295.55  302.82  0
1377  308.61  305.80  299.80  293.17  291.01  289.31  288.67  288.25  272.25  292.80  287.23  291.61  288.63  286.68  295.23  291.83  0
1378  311.57  303.00  296.14  292.89  291.47  290.61  289.52  288.27  274.16  294.20  285.70  291.21  287.92  286.74  290.36  287.70  0
1379  322.31  306.51  302.87  295.38  292.61  291.61  290.90  289.59  275.10  293.91  288.35  292.94  290.63  287.08  293.86  294.86  0
1380  344.35  316.72  307.55  304.59  305.86  304.11  295.50  295.90  276.97  305.65  299.62  305.09  305.05  297.22  302.93  320.13  0
1381  317.33  303.19  303.25  299.12  300.40  298.29  296.09  294.78  283.77  297.91  290.71  294.80  291.20  289.33  294.11  299.62  0
1382  311.11  304.58  302.28  299.76  299.98  297.15  296.27  293.65  285.47  299.14  290.06  295.62  291.77  288.29  294.08  292.84  0
1383  314.43  305.48  303.95  299.20  298.34  295.28  294.41  293.43  279.58  297.10  288.55  294.15  291.34  289.44  292.89  299.34  0
1384  318.56  309.80  306.88  302.69  303.56  294.06  292.99  297.58  276.42  294.34  290.56  296.28  291.46  285.86  294.88  316.27  0
1386  309.70  305.86  302.85  301.22  299.61  296.85  293.97  293.24  277.24  296.59  287.75  293.11  289.84  288.94  291.24  297.55  0
1387  320.87  307.18  304.49  300.45  299.54  296.38  294.02  295.75  277.98  296.44  290.12  294.77  289.11  288.51  293.49  297.80  0
1388  307.21  299.09  301.83  295.72  296.51  295.50  295.58  293.08  272.39  294.83  288.41  289.33  288.44  285.79  290.72  296.75  0
1389  308.47  300.99  298.62  292.80  291.77  290.06  288.48  286.66  271.59  293.96  285.97  291.21  289.32  287.29  291.96  293.48  0
1390  307.39  303.65  299.20  292.84  293.99  290.31  287.98  289.25  270.70  294.84  285.05  291.32  288.87  287.26  290.89  287.17  0
1392  312.64  314.19  306.65  299.96  297.87  292.77  290.69  288.22  272.43  293.70  288.27  292.74  290.52  285.78  292.74  290.33  0
1394  304.04  297.70  295.97  297.61  295.53  295.34  293.55  295.39  283.88  298.87  287.71  293.04  291.46  290.68  292.60  287.23  0
1397  297.41  309.10  309.94  303.89  302.41  296.40  293.93  291.72  274.60  295.61  287.37  292.54  287.52  286.64  291.76  283.86  0
1398  319.87  315.84  309.99  299.84  296.99  298.21  290.09  292.19  267.60  295.44  284.91  293.46  291.15  284.92  298.24  287.15  0
1399  322.02  324.33  310.62  305.48  302.81  297.49  296.56  291.60  271.82  299.17  289.20  295.14  293.92  292.37  294.14  303.90  0
1402  326.21  316.63  307.82  303.14  300.66  296.34  293.03  293.10  274.43  300.82  289.06  294.73  290.39  287.64  290.68  284.61  0
1403  303.50  308.22  298.78  295.83  293.94  292.26  286.59  286.30  268.16  293.94  285.92  292.62  290.69  285.60  293.42  263.92  0
1404  304.38  306.93  298.95  297.19  293.32  290.84  287.40  287.30  270.61  293.35  286.09  292.27  289.90  288.08  295.76  283.75  0
1405  317.05  307.46  304.14  301.35  300.64  298.52  297.00  293.93  280.22  298.08  290.49  294.71  291.40  291.43  291.18  283.54  0
1406  320.49  310.75  304.83  301.56  300.56  296.02  296.23  296.34  277.06  299.52  293.50  296.58  292.03  289.99  294.48  296.03  0
1407  314.52  329.55  316.00  298.70  294.76  297.70  287.37  289.08  270.85  297.13  285.39  291.81  290.18  290.66  296.66  244.52  0
1408  312.85  307.22  300.89  300.87  300.04  297.77  294.55  292.51  275.90  296.40  290.60  294.92  291.05  288.45  293.23  291.79  0
1409  317.03  317.83  302.97  298.93  301.22  299.67  295.42  291.81  275.45  298.85  290.59  297.93  291.25  288.02  295.21  279.58  0
1410  317.54  308.08  306.87  304.09  297.29  298.14  293.25  291.45  273.29  295.58  287.37  295.50  289.56  287.21  295.93  283.01  0
1411  324.25  309.93  306.21  302.28  297.50  297.79  292.09  292.46  273.15  294.86  289.76  297.18  290.38  291.26  293.79  293.25  0
1412  311.29  306.89  308.00  301.72  299.68  297.63  293.94  291.54  272.08  298.53  286.04  294.36  291.37  286.79  291.89  291.22  0
1413  328.61  307.63  306.73  294.33  289.82  291.69  289.06  287.84  270.56  295.69  284.34  294.27  289.39  284.71  293.06  270.08  0
1414  320.77  312.05  299.13  297.70  293.00  293.52  288.24  288.61  265.83  291.36  285.79  294.93  288.95  284.21  290.82  287.68  0
1415  312.70  315.91  305.21  297.55  290.22  291.69  287.62  289.22  272.01  292.64  281.81  291.70  294.12  281.27  288.38  309.83  0
1416  308.10  305.56  305.53  294.83  295.18  291.91  288.54  286.59  268.59  295.34  282.75  289.59  289.75  287.38  293.32  295.86  0
1420  341.19  317.51  307.72  306.52  295.97  300.26  300.19  295.32  275.43  303.06  292.90  303.11  302.06  292.05  294.45  290.23  0
1422  313.75  311.66  306.70  303.11  300.68  299.43  295.87  297.42  280.31  298.98  289.27  294.76  291.59  289.36  295.56  301.72  0
1423  350.41  331.98  326.18  326.47  324.92  317.49  310.73  312.89  289.60  310.25  292.26  301.39  318.38  328.67  311.07  300.05  0
1425  323.03  302.67  303.20  303.87  303.02  298.71  296.96  295.99  277.60  299.45  288.91  296.53  292.66  287.72  297.93  296.66  0
1426  314.42  307.24  310.84  298.97  297.24  294.06  290.37  290.17  268.68  292.55  282.82  294.02  287.85  284.81  291.04  287.48  0
1427  326.20  318.85  308.79  302.61  296.38  300.88  295.16  295.87  272.65  297.09  287.71  294.56  289.77  290.42  291.90  299.15  0
1428  336.83  314.90  309.93  302.01  298.14  298.04  295.16  293.98  275.66  296.62  287.62  299.25  291.93  288.40  291.44  298.41  0
1429  321.30  309.58  311.07  304.46  293.59  298.48  294.30  294.39  268.99  300.12  293.47  297.95  290.76  283.79  284.54  273.31  0
1430  327.09  311.78  306.31  305.60  298.98  297.71  292.12  292.47  273.31  295.19  286.59  295.13  290.10  288.11  288.44  286.64  0
1431  332.16  312.36  310.64  303.96  300.80  297.19  294.84  292.01  275.77  301.00  291.85  294.40  293.22  290.21  295.23  280.02  0
1432  329.54  315.16  311.66  303.10  296.28  297.65  296.09  298.77  276.23  297.39  293.47  296.38  291.39  293.79  291.72  298.89  0
1433  325.71  309.92  303.34  302.39  298.59  297.59  292.71  291.58  276.80  299.21  288.67  295.52  291.78  288.58  299.05  293.44  0
1434  312.50  306.39  301.47  294.85  294.43  293.56  287.94  285.98  269.55  294.03  284.67  291.67  290.10  286.64  294.72  272.28  0
1435  321.09  308.49  297.98  297.51  292.85  292.84  292.55  289.76  268.34  295.44  287.03  296.37  289.90  287.14  296.28  305.11  0
1436  314.57  303.71  303.85  296.51  293.00  291.66  289.29  287.88  268.99  292.39  285.23  295.22  287.53  284.39  293.25  296.93  0
1437  312.12  308.80  300.89  295.06  290.86  291.78  289.43  287.66  269.79  292.86  284.20  293.86  289.52  288.64  294.85  288.02  0
1438  315.68  307.68  300.53  296.39  291.29  292.50  288.52  287.96  268.04  292.64  285.80  294.41  290.16  288.47  294.26  279.21  0
1439  319.49  306.25  304.66  300.46  299.58  298.23  297.76  296.97  275.74  301.04  287.20  296.48  292.70  287.79  291.72  284.65  0
1440  314.39  313.78  301.29  300.92  302.56  299.08  295.98  296.56  281.58  300.42  287.74  294.84  292.12  288.21  296.14  305.97  0
1441  326.85  318.45  313.23  303.02  302.50  300.45  292.54  291.09  267.01  298.96  287.29  292.26  291.03  288.39  292.90  292.63  0
1450  323.79  314.31  313.65  301.97  299.26  297.39  295.68  292.07  270.39  297.77  288.25  294.37  293.51  290.45  290.96  302.06  0
1451  319.90  319.89  307.04  305.37  302.18  297.87  294.58  296.42  271.30  298.45  290.87  295.00  290.36  287.96  293.53  294.94  0
1452  339.43  327.13  315.77  311.14  299.67  298.25  300.16  294.28  278.37  302.67  287.82  301.46  294.75  290.08  299.36  301.28  0
1453  319.82  310.61  306.47  302.96  301.44  298.43  294.10  293.41  274.95  298.29  288.63  294.43  292.08  289.06  290.25  299.01  0
1454  307.53  319.37  305.31  302.39  301.58  299.55  290.79  290.96  270.39  297.93  285.60  294.33  291.15  285.96  298.94  286.79  0
1455  309.13  310.14  304.65  300.52  299.55  297.66  293.28  290.89  275.43  298.65  285.43  291.50  290.98  286.43  292.97  284.38  0
1456  311.93  307.19  300.38  295.92  295.71  290.80  291.08  286.79  267.52  292.20  287.77  292.70  289.70  287.10  288.12  275.08  0
1457  303.47  298.96  300.79  292.67  291.15  292.18  285.51  286.70  271.30  292.56  284.64  293.97  290.71  284.86  290.94  283.49  0
1458  313.69  303.92  298.61  294.78  293.33  290.35  287.22  286.44  265.94  292.59  285.67  289.28  288.07  284.73  289.60  282.74  0
1459  301.27  300.56  297.47  293.90  294.73  292.31  285.39  286.55  270.72  292.81  285.69  293.63  289.24  286.89  292.77  281.89  0
1460  319.29  306.15  307.14  303.49  300.54  296.86  293.40  296.21  281.38  296.00  290.86  293.40  292.60  288.16  295.74  291.83  0
1461  313.95  308.32  304.19  302.93  301.30  298.72  295.89  292.68  279.41  300.87  288.56  297.86  293.41  290.67  294.52  286.48  0
1462  315.43  317.74  309.65  300.51  296.93  297.54  294.51  291.29  271.18  296.85  285.77  293.95  290.92  290.19  296.86  283.75  0
1463  317.69  309.32  309.30  303.30  298.35  297.72  293.44  291.46  275.43  296.20  287.99  295.32  289.04  284.69  296.90  299.54  0
1464  309.75  315.69  301.98  298.75  298.56  298.51  297.46  291.37  273.01  296.19  295.74  294.00  291.66  286.67  284.71  293.92  0
1465  316.11  307.87  304.96  295.02  293.04  292.67  285.13  287.25  271.14  295.17  287.74  290.88  289.36  287.52  288.21  289.86  0
1466  320.05  305.27  302.54  295.69  294.08  292.16  289.21  287.79  267.79  293.69  284.77  293.71  290.40  285.29  293.68  279.52  0
1468  321.63  306.30  316.36  305.33  295.53  296.01  290.90  288.98  270.02  297.34  288.07  293.34  291.76  289.96  291.26  233.07  0
1469  324.71  312.05  307.48  297.02  296.10  298.71  291.33  289.12  268.56  295.96  288.19  290.92  289.92  288.41  291.44  233.64  1
1470  312.69  310.60  313.55  305.17  301.33  296.10  292.25  292.00  274.18  295.44  285.13  292.72  288.13  287.23  293.17  275.56  0
