run No.    Charge     decay_time     fHi      Q*fHi
91427  71387.1  124  0.0274377  1958.7
91428  66321.5  124  0.0274377  1819.71
91429  63452.1  124  0.0274377  1740.98
91438  70254  125  0.0276538  1942.79
91439  64106.3  125  0.0276538  1772.78
91440  55886.7  125  0.0276538  1545.48
91441  76497.2  125  0.0276538  2115.43
91450  61294.5  125  0.0276538  1695.02
91451  46389.6  125  0.0276538  1282.85
91452  67184.2  125  0.0276538  1857.89
91476  67381.1  127  0.0280858  1892.45
91477  59660.4  127  0.0280858  1675.61
91478  75292.8  127  0.0280858  2114.66
91479  66399.3  127  0.0280858  1864.88
91488  63539.3  128  0.0283018  1798.27
91489  71401.7  128  0.0283018  2020.8
91490  66036.5  128  0.0283018  1868.95
91491  64893.2  128  0.0283018  1836.59
91492  82509.2  128  0.0283018  2335.15
91500  73874.5  128  0.0283018  2090.78
91501  22211.4  128  0.0283018  628.622
91502  56442  128  0.0283018  1597.41
91503  75763.7  128  0.0283018  2144.25
91504  67491.7  129  0.0285177  1924.71
91515  74214.7  129  0.0285177  2116.43
91516  67514.4  129  0.0285177  1925.35
91517  69541.3  129  0.0285177  1983.16
91518  60817.1  129  0.0285177  1734.36
91527  61595.6  130  0.0287335  1769.86
91531  54200.1  130  0.0287335  1557.36
91532  65310  130  0.0287335  1876.59
91533  69727  130  0.0287335  2003.5
91534  60682.2  130  0.0287335  1743.61
91535  63440.9  130  0.0287335  1822.88
91550  61146.4  131  0.0289493  1770.15
91551  69032.6  131  0.0289493  1998.45
91552  67225.5  131  0.0289493  1946.14
91554  86591.5  131  0.0289493  2506.77
91555  86022  131  0.0289493  2490.28
91556  79084.7  132  0.0291651  2306.52
91562  72983.6  132  0.0291651  2128.57
91563  68389.7  132  0.0291651  1994.59
91564  70727.6  132  0.0291651  2062.78
91565  77188.1  132  0.0291651  2251.2
91571  25362.5  132  0.0291651  739.701
91572  52331.8  132  0.0291651  1526.26
91573  55446  132  0.0291651  1617.09
91574  38845  132  0.0291651  1132.92
91575  59557.2  133  0.0293808  1749.84
91576  63815.4  133  0.0293808  1874.95
91577  18027.4  133  0.0293808  529.659
91678  318.41  155  0.0341145  10.8624
91679  8554.79  155  0.0341145  291.843
91680  27011.7  155  0.0341145  921.49
91681  24645.8  155  0.0341145  840.778
91682  27567.9  155  0.0341145  940.465
91691  22659.8  156  0.0343291  777.891
91692  72279.5  156  0.0343291  2481.29
91693  44253.8  156  0.0343291  1519.19
91694  25424.7  156  0.0343291  872.807
91734  9308.76  157  0.0345437  321.559
91735  18232.1  157  0.0345437  629.803
91736  13490.3  157  0.0345437  466.006
91737  19355.6  157  0.0345437  668.613
91739  8080.34  157  0.0345437  279.125
91740  9882.96  157  0.0345437  341.394
91741  8943.94  157  0.0345437  308.957
91743  10651.2  157  0.0345437  367.932
91742  8654.44  157  0.0345437  298.956
91744  9336.44  157  0.0345437  322.515
91745  7927.65  157  0.0345437  273.85
91747  15513.9  157  0.0345437  535.906
91748  30891.1  157  0.0345437  1067.09
91749  0  157  0.0345437  0
91750  0  157  0.0345437  0
91751  36049.3  157  0.0345437  1245.27
91789  75463.2  159  0.0349727  2639.15
91795  126935  159  0.0349727  4439.26
91805  34286.4  160  0.0351871  1206.44
91806  31203.5  160  0.0351871  1097.96
91816  37521.3  160  0.0351871  1320.27
91817  34385.9  160  0.0351871  1209.94
91818  42981  160  0.0351871  1512.38
91823  13881.8  160  0.0351871  488.459
91824  61340.2  160  0.0351871  2158.38
91825  35104.7  160  0.0351871  1235.23
91834  72967.2  161  0.0354015  2583.15
91835  73105.2  161  0.0354015  2588.03
91848  74069.1  162  0.0356158  2638.03
91849  72904.4  162  0.0356158  2596.55
91850  19383.7  162  0.0356158  690.365
91873  77820  163  0.0358301  2788.3
91874  27977  163  0.0358301  1002.42
91875  18164.9  163  0.0358301  650.851
91876  37594.7  163  0.0358301  1347.02
91877  90115.6  163  0.0358301  3228.85
91878  24994.8  163  0.0358301  895.565
91879  16127.1  163  0.0358301  577.837
91880  13913.7  163  0.0358301  498.529
91881  60675.2  163  0.0358301  2174
91892  15258  164  0.0360443  549.963
91893  41442.2  164  0.0360443  1493.76
91894  89936.9  164  0.0360443  3241.72
91917  80239  165  0.0362585  2909.35
91918  75259.4  165  0.0362585  2728.79
91919  77020.6  165  0.0362585  2792.65
91920  80146.8  165  0.0362585  2906
91921  95543.4  165  0.0362585  3464.26
91933  82274.3  166  0.0364727  3000.76
91934  84614.2  166  0.0364727  3086.11
91935  71464.4  166  0.0364727  2606.5
91936  85302  166  0.0364727  3111.19
91937  41679.3  166  0.0364727  1520.15
91948  79037.7  167  0.0366868  2899.64
91949  75495.8  167  0.0366868  2769.7
91950  69241.3  167  0.0366868  2540.24
91962  80700.9  167  0.0366868  2960.65
91963  80297.4  167  0.0366868  2945.85
91964  100925  167  0.0366868  3702.6
91965  88176.1  168  0.0369008  3253.77
91978  78706.5  169  0.0371148  2921.18
91979  75092  169  0.0371148  2787.03
91986  40537.6  169  0.0371148  1504.54
91988  82441.9  169  0.0371148  3059.81
91990  72202.8  169  0.0371148  2679.79
92005  78876.4  170  0.0373288  2944.36
92006  83942.1  170  0.0373288  3133.45
92007  106480  170  0.0373288  3974.75
92016  66139.3  171  0.0375427  2483.05
92017  75435  171  0.0375427  2832.03
92018  78587.4  171  0.0375427  2950.38
92019  49692  171  0.0375427  1865.57
