run No.    Charge     decay_time     fHi      Q*fHi
2065  40993.6  121  0.0267891  1098.18
2066  22174  121  0.0267891  594.02
2074  42876.2  121  0.0267891  1148.61
2075  62748.4  121  0.0267891  1680.97
2076  61273.1  121  0.0267891  1641.45
2077  59186.5  121  0.0267891  1585.55
2088  66530.1  122  0.0270053  1796.67
2089  27871.9  122  0.0270053  752.69
2090  46377.7  122  0.0270053  1252.44
2091  63592.7  122  0.0270053  1717.34
2092  65158.1  122  0.0270053  1759.62
2102  69150.2  123  0.0272215  1882.37
2103  94883  123  0.0272215  2582.86
2104  69612.9  123  0.0272215  1894.97
2106  77582.1  123  0.0272215  2111.9
2121  71678.5  124  0.0274377  1966.69
2122  21192.3  124  0.0274377  581.467
2123  55504.3  124  0.0274377  1522.91
2124  73192.6  124  0.0274377  2008.23
2125  63336.8  124  0.0274377  1737.81
2126  74421.9  124  0.0274377  2041.96
2134  65450  124  0.0274377  1795.8
2135  71415.8  124  0.0274377  1959.48
2136  66269.3  124  0.0274377  1818.27
2137  63431.1  124  0.0274377  1740.4
2146  70285.4  125  0.0276538  1943.66
2147  64071.2  125  0.0276538  1771.81
2148  55908  125  0.0276538  1546.07
2149  76525.8  125  0.0276538  2116.23
2157  59822.1  125  0.0276538  1654.31
2158  60653.5  125  0.0276538  1677.3
2159  47241.9  125  0.0276538  1306.42
2160  67886.8  125  0.0276538  1877.32
2174  68100.1  126  0.0278698  1897.94
2175  73506.8  126  0.0278698  2048.62
2176  60981.3  126  0.0278698  1699.54
2177  80565.7  126  0.0278698  2245.35
2187  66828.3  127  0.0280858  1876.93
2188  58934.4  127  0.0280858  1655.22
2189  75282.9  127  0.0280858  2114.38
2190  66419.4  127  0.0280858  1865.44
2199  63537.9  128  0.0283018  1798.24
2200  71457.2  128  0.0283018  2022.37
2201  65999.9  128  0.0283018  1867.91
2202  64836.8  128  0.0283018  1835
2203  82477.5  128  0.0283018  2334.26
2211  73853.2  128  0.0283018  2090.17
2212  22236.6  128  0.0283018  629.334
2213  56416.7  128  0.0283018  1596.69
2214  75781.7  128  0.0283018  2144.76
2215  67491.6  129  0.0285177  1924.7
2226  74196.5  129  0.0285177  2115.91
2227  67491.6  129  0.0285177  1924.7
2228  69559.2  129  0.0285177  1983.67
2229  60834.4  129  0.0285177  1734.85
2238  61637.7  130  0.0287335  1771.07
2242  54867.4  130  0.0287335  1576.54
2243  65307.5  130  0.0287335  1876.52
2244  69730.7  130  0.0287335  2003.61
2245  60643.3  130  0.0287335  1742.5
2246  63547.1  130  0.0287335  1825.93
2261  61127.7  131  0.0289493  1769.61
2262  69086.1  131  0.0289493  2000
2263  67320.3  131  0.0289493  1948.88
2265  86686.8  131  0.0289493  2509.53
2266  86045.9  131  0.0289493  2490.97
2267  79277.8  132  0.0291651  2312.15
2273  72538.1  132  0.0291651  2115.58
2274  67986.3  132  0.0291651  1982.83
2275  71164.3  132  0.0291651  2075.51
2276  76807.8  132  0.0291651  2240.11
2282  25529.5  132  0.0291651  744.569
2283  52370.1  132  0.0291651  1527.38
2284  55416.4  132  0.0291651  1616.22
2285  38903.3  132  0.0291651  1134.62
2286  59538.1  133  0.0293808  1749.28
2287  63769  133  0.0293808  1873.59
2288  18027  133  0.0293808  529.649
2750  79203.8  167  0.0366868  2905.73
2751  75362.5  167  0.0366868  2764.81
2752  69365.7  167  0.0366868  2544.8
2764  80645.4  167  0.0366868  2958.62
2765  80294.8  167  0.0366868  2945.75
2766  101152  167  0.0366868  3710.93
2767  88291.3  168  0.0369008  3258.02
2781  78605.5  169  0.0371148  2917.43
2782  75144.5  169  0.0371148  2788.97
2811  78811.6  170  0.0373288  2941.94
2812  83925.5  170  0.0373288  3132.83
2813  106437  170  0.0373288  3973.17
2822  66053.5  171  0.0375427  2479.83
2823  75196.3  171  0.0375427  2823.07
2824  78531.1  171  0.0375427  2948.27
2825  49633.9  171  0.0375427  1863.39
